source_sheet,action_id,cn_name,en_name,action_category_cn,action_category_en,classjob_id,classjob_category_id,level,job_abbrs,job_names_cn,job_names_en,is_role_action,is_player_action,is_pvp
Action,33987,闪躲,Dodge,能力,Ability,-1,1,1,GLA;PGL;MRD;LNC;ARC;CNJ;THM;CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL;MIN;BTN;FSH;PLD;MNK;WAR;DRG;BRD;WHM;BLM;ACN;SMN;SCH;ROG;NIN;MCH;DRK;AST;SAM;RDM;BLU;GNB;DNC;RPR;SGE;VPR;PCT,剑术师;格斗家;斧术师;枪术师;弓箭手;幻术师;咒术师;刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师;采矿工;园艺工;捕鱼人;骑士;武僧;战士;龙骑士;吟游诗人;白魔法师;黑魔法师;秘术师;召唤师;学者;双剑师;忍者;机工士;暗黑骑士;占星术士;武士;赤魔法师;青魔法师;绝枪战士;舞者;钐镰客;贤者;蝰蛇剑士;绘灵法师,Gladiator;Pugilist;Marauder;Lancer;Archer;Conjurer;Thaumaturge;Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian;Miner;Botanist;Fisher;Paladin;Monk;Warrior;Dragoon;Bard;White Mage;Black Mage;Arcanist;Summoner;Scholar;Rogue;Ninja;Machinist;Dark Knight;Astrologian;Samurai;Red Mage;Blue Mage;Gunbreaker;Dancer;Reaper;Sage;Viper;Pictomancer,False,False,False
Action,33988,闪躲,Dodge,能力,Ability,-1,1,1,GLA;PGL;MRD;LNC;ARC;CNJ;THM;CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL;MIN;BTN;FSH;PLD;MNK;WAR;DRG;BRD;WHM;BLM;ACN;SMN;SCH;ROG;NIN;MCH;DRK;AST;SAM;RDM;BLU;GNB;DNC;RPR;SGE;VPR;PCT,剑术师;格斗家;斧术师;枪术师;弓箭手;幻术师;咒术师;刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师;采矿工;园艺工;捕鱼人;骑士;武僧;战士;龙骑士;吟游诗人;白魔法师;黑魔法师;秘术师;召唤师;学者;双剑师;忍者;机工士;暗黑骑士;占星术士;武士;赤魔法师;青魔法师;绝枪战士;舞者;钐镰客;贤者;蝰蛇剑士;绘灵法师,Gladiator;Pugilist;Marauder;Lancer;Archer;Conjurer;Thaumaturge;Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian;Miner;Botanist;Fisher;Paladin;Monk;Warrior;Dragoon;Bard;White Mage;Black Mage;Arcanist;Summoner;Scholar;Rogue;Ninja;Machinist;Dark Knight;Astrologian;Samurai;Red Mage;Blue Mage;Gunbreaker;Dancer;Reaper;Sage;Viper;Pictomancer,False,False,False
Action,33989,闪躲,Dodge,能力,Ability,-1,1,1,GLA;PGL;MRD;LNC;ARC;CNJ;THM;CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL;MIN;BTN;FSH;PLD;MNK;WAR;DRG;BRD;WHM;BLM;ACN;SMN;SCH;ROG;NIN;MCH;DRK;AST;SAM;RDM;BLU;GNB;DNC;RPR;SGE;VPR;PCT,剑术师;格斗家;斧术师;枪术师;弓箭手;幻术师;咒术师;刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师;采矿工;园艺工;捕鱼人;骑士;武僧;战士;龙骑士;吟游诗人;白魔法师;黑魔法师;秘术师;召唤师;学者;双剑师;忍者;机工士;暗黑骑士;占星术士;武士;赤魔法师;青魔法师;绝枪战士;舞者;钐镰客;贤者;蝰蛇剑士;绘灵法师,Gladiator;Pugilist;Marauder;Lancer;Archer;Conjurer;Thaumaturge;Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian;Miner;Botanist;Fisher;Paladin;Monk;Warrior;Dragoon;Bard;White Mage;Black Mage;Arcanist;Summoner;Scholar;Rogue;Ninja;Machinist;Dark Knight;Astrologian;Samurai;Red Mage;Blue Mage;Gunbreaker;Dancer;Reaper;Sage;Viper;Pictomancer,False,False,False
Action,33990,闪躲,Dodge,能力,Ability,-1,1,1,GLA;PGL;MRD;LNC;ARC;CNJ;THM;CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL;MIN;BTN;FSH;PLD;MNK;WAR;DRG;BRD;WHM;BLM;ACN;SMN;SCH;ROG;NIN;MCH;DRK;AST;SAM;RDM;BLU;GNB;DNC;RPR;SGE;VPR;PCT,剑术师;格斗家;斧术师;枪术师;弓箭手;幻术师;咒术师;刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师;采矿工;园艺工;捕鱼人;骑士;武僧;战士;龙骑士;吟游诗人;白魔法师;黑魔法师;秘术师;召唤师;学者;双剑师;忍者;机工士;暗黑骑士;占星术士;武士;赤魔法师;青魔法师;绝枪战士;舞者;钐镰客;贤者;蝰蛇剑士;绘灵法师,Gladiator;Pugilist;Marauder;Lancer;Archer;Conjurer;Thaumaturge;Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian;Miner;Botanist;Fisher;Paladin;Monk;Warrior;Dragoon;Bard;White Mage;Black Mage;Arcanist;Summoner;Scholar;Rogue;Ninja;Machinist;Dark Knight;Astrologian;Samurai;Red Mage;Blue Mage;Gunbreaker;Dancer;Reaper;Sage;Viper;Pictomancer,False,False,False
Action,33997,闪躲,Dodge,能力,Ability,-1,1,1,GLA;PGL;MRD;LNC;ARC;CNJ;THM;CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL;MIN;BTN;FSH;PLD;MNK;WAR;DRG;BRD;WHM;BLM;ACN;SMN;SCH;ROG;NIN;MCH;DRK;AST;SAM;RDM;BLU;GNB;DNC;RPR;SGE;VPR;PCT,剑术师;格斗家;斧术师;枪术师;弓箭手;幻术师;咒术师;刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师;采矿工;园艺工;捕鱼人;骑士;武僧;战士;龙骑士;吟游诗人;白魔法师;黑魔法师;秘术师;召唤师;学者;双剑师;忍者;机工士;暗黑骑士;占星术士;武士;赤魔法师;青魔法师;绝枪战士;舞者;钐镰客;贤者;蝰蛇剑士;绘灵法师,Gladiator;Pugilist;Marauder;Lancer;Archer;Conjurer;Thaumaturge;Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian;Miner;Botanist;Fisher;Paladin;Monk;Warrior;Dragoon;Bard;White Mage;Black Mage;Arcanist;Summoner;Scholar;Rogue;Ninja;Machinist;Dark Knight;Astrologian;Samurai;Red Mage;Blue Mage;Gunbreaker;Dancer;Reaper;Sage;Viper;Pictomancer,False,False,False
Action,9,先锋剑,Fast Blade,战技,Weaponskill,1,38,1,GLA,剑术师,Gladiator,False,True,False
Action,34515,精准强击,Precision Strike,能力,Ability,-1,1,1,GLA;PGL;MRD;LNC;ARC;CNJ;THM;CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL;MIN;BTN;FSH;PLD;MNK;WAR;DRG;BRD;WHM;BLM;ACN;SMN;SCH;ROG;NIN;MCH;DRK;AST;SAM;RDM;BLU;GNB;DNC;RPR;SGE;VPR;PCT,剑术师;格斗家;斧术师;枪术师;弓箭手;幻术师;咒术师;刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师;采矿工;园艺工;捕鱼人;骑士;武僧;战士;龙骑士;吟游诗人;白魔法师;黑魔法师;秘术师;召唤师;学者;双剑师;忍者;机工士;暗黑骑士;占星术士;武士;赤魔法师;青魔法师;绝枪战士;舞者;钐镰客;贤者;蝰蛇剑士;绘灵法师,Gladiator;Pugilist;Marauder;Lancer;Archer;Conjurer;Thaumaturge;Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian;Miner;Botanist;Fisher;Paladin;Monk;Warrior;Dragoon;Bard;White Mage;Black Mage;Arcanist;Summoner;Scholar;Rogue;Ninja;Machinist;Dark Knight;Astrologian;Samurai;Red Mage;Blue Mage;Gunbreaker;Dancer;Reaper;Sage;Viper;Pictomancer,False,False,False
Action,34790,升腾火焰,Rising Flames,能力,Ability,-1,1,1,GLA;PGL;MRD;LNC;ARC;CNJ;THM;CRP;BSM;ARM;GSM;LTW;WVR;ALC;CUL;MIN;BTN;FSH;PLD;MNK;WAR;DRG;BRD;WHM;BLM;ACN;SMN;SCH;ROG;NIN;MCH;DRK;AST;SAM;RDM;BLU;GNB;DNC;RPR;SGE;VPR;PCT,剑术师;格斗家;斧术师;枪术师;弓箭手;幻术师;咒术师;刻木匠;锻铁匠;铸甲匠;雕金匠;制革匠;裁衣匠;炼金术士;烹调师;采矿工;园艺工;捕鱼人;骑士;武僧;战士;龙骑士;吟游诗人;白魔法师;黑魔法师;秘术师;召唤师;学者;双剑师;忍者;机工士;暗黑骑士;占星术士;武士;赤魔法师;青魔法师;绝枪战士;舞者;钐镰客;贤者;蝰蛇剑士;绘灵法师,Gladiator;Pugilist;Marauder;Lancer;Archer;Conjurer;Thaumaturge;Carpenter;Blacksmith;Armorer;Goldsmith;Leatherworker;Weaver;Alchemist;Culinarian;Miner;Botanist;Fisher;Paladin;Monk;Warrior;Dragoon;Bard;White Mage;Black Mage;Arcanist;Summoner;Scholar;Rogue;Ninja;Machinist;Dark Knight;Astrologian;Samurai;Red Mage;Blue Mage;Gunbreaker;Dancer;Reaper;Sage;Viper;Pictomancer,False,False,False
Action,20,战逃反应,Fight or Flight,能力,Ability,1,38,2,GLA,剑术师,Gladiator,False,True,False
Action,15,暴乱剑,Riot Blade,战技,Weaponskill,1,38,4,GLA,剑术师,Gladiator,False,True,False
