cn_name,en_name,action_category_cn,action_category_en,job_abbrs,job_names_cn,job_names_en,levels,action_ids,source_sheets,is_role_action,is_pvp
宝石兽召唤,Summon Carbuncle,魔法,Spell,ACN,秘术师,Arcanist,2,25798,Action,False,False
以太蓄能,Aethercharge,魔法,Spell,ACN,秘术师,Arcanist,6,25800,Action,False,False
宝石耀,Gemshine,魔法,Spell,ACN,秘术师,Arcanist,6,25883,Action,False,False
红宝石召唤,Summon Ruby,魔法,Spell,ACN,秘术师,Arcanist,6,25802,Action,False,False
溃烂爆发,Fester,能力,Ability,ACN,秘术师,Arcanist,10,181,Action,False,False
复生,Resurrection,魔法,Spell,ACN,秘术师,Arcanist,12,173,Action,False,False
黄宝石召唤,Summon Topaz,魔法,Spell,ACN,秘术师,Arcanist,15,25803,Action,False,False
绿宝石召唤,Summon Emerald,魔法,Spell,ACN,秘术师,Arcanist,22,25804,Action,False,False
迸裂,Outburst,魔法,Spell,ACN,秘术师,Arcanist,26,16511,Action,False,False
宝石辉,Precious Brilliance,魔法,Spell,ACN,秘术师,Arcanist,26,25884,Action,False,False
闪躲,Dodge,能力,Ability,ACN;ALC;ARC;ARM;AST;BLM;BLU;BRD;BSM;BTN;CNJ;CRP;CUL;DNC;DRG;DRK;FSH;GLA;GNB;GSM;LNC;LTW;MCH;MIN;MNK;MRD;NIN;PCT;PGL;PLD;RDM;ROG;RPR;SAM;SCH;SGE;SMN;THM;VPR;WAR;WHM;WVR,制革匠;刻木匠;剑术师;占星术士;双剑师;召唤师;吟游诗人;咒术师;园艺工;学者;幻术师;弓箭手;忍者;战士;捕鱼人;斧术师;暗黑骑士;机工士;枪术师;格斗家;武僧;武士;炼金术士;烹调师;白魔法师;秘术师;绘灵法师;绝枪战士;舞者;蝰蛇剑士;裁衣匠;贤者;赤魔法师;采矿工;钐镰客;铸甲匠;锻铁匠;雕金匠;青魔法师;骑士;黑魔法师;龙骑士,Alchemist;Arcanist;Archer;Armorer;Astrologian;Bard;Black Mage;Blacksmith;Blue Mage;Botanist;Carpenter;Conjurer;Culinarian;Dancer;Dark Knight;Dragoon;Fisher;Gladiator;Goldsmith;Gunbreaker;Lancer;Leatherworker;Machinist;Marauder;Miner;Monk;Ninja;Paladin;Pictomancer;Pugilist;Reaper;Red Mage;Rogue;Sage;Samurai;Scholar;Summoner;Thaumaturge;Viper;Warrior;Weaver;White Mage,1,33987;33988;33989;33990;33997,Action,False,False
精准强击,Precision Strike,能力,Ability,ACN;ALC;ARC;ARM;AST;BLM;BLU;BRD;BSM;BTN;CNJ;CRP;CUL;DNC;DRG;DRK;FSH;GLA;GNB;GSM;LNC;LTW;MCH;MIN;MNK;MRD;NIN;PCT;PGL;PLD;RDM;ROG;RPR;SAM;SCH;SGE;SMN;THM;VPR;WAR;WHM;WVR,制革匠;刻木匠;剑术师;占星术士;双剑师;召唤师;吟游诗人;咒术师;园艺工;学者;幻术师;弓箭手;忍者;战士;捕鱼人;斧术师;暗黑骑士;机工士;枪术师;格斗家;武僧;武士;炼金术士;烹调师;白魔法师;秘术师;绘灵法师;绝枪战士;舞者;蝰蛇剑士;裁衣匠;贤者;赤魔法师;采矿工;钐镰客;铸甲匠;锻铁匠;雕金匠;青魔法师;骑士;黑魔法师;龙骑士,Alchemist;Arcanist;Archer;Armorer;Astrologian;Bard;Black Mage;Blacksmith;Blue Mage;Botanist;Carpenter;Conjurer;Culinarian;Dancer;Dark Knight;Dragoon;Fisher;Gladiator;Goldsmith;Gunbreaker;Lancer;Leatherworker;Machinist;Marauder;Miner;Monk;Ninja;Paladin;Pictomancer;Pugilist;Reaper;Red Mage;Rogue;Sage;Samurai;Scholar;Summoner;Thaumaturge;Viper;Warrior;Weaver;White Mage,1,34515,Action,False,False
