time,action,isGCD,castTime
-4.231999999999999,Fire 3,1,3.44
-0.6836129032258058,High Thunder,1,0
0.01638709677419392,Amplifier,0,0
0.7163870967741941,Swiftcast,0,0
1.7680000000000007,Fire 4,1,0
3.2089999999999996,Ley Lines,0,0
4.219612903225805,Fire 4,1,1.671
6.305634408602147,Fire 4,1,1.671
8.39165591397849,Fire 4,1,1.671
10.477677419354833,Fire 4,1,1.671
12.563698924731177,Xenoglossy,1,0
13.263698924731177,Manafont,0,0
14.649720430107521,Fire 4,1,1.671
16.735741935483865,Flare Star,1,1.671
18.821763440860206,Fire 4,1,1.671
20.907784946236546,Fire 4,1,1.671
22.993806451612887,Fire 4,1,1.671
25.07982795698923,Fire 4,1,1.966
27.531440860215042,Fire 4,1,1.966
29.98305376344085,High Thunder,1,0
30.683053763440846,Triplecast,0,0
32.43466666666665,Fire 4,1,0
34.88627956989245,Flare Star,1,0
37.33789247311826,Despair,1,0
38.037892473118255,Transpose,0,0
38.73789247311826,Manaward,0,0
39.78950537634407,Blizzard 3,1,0
41.29999999999997,Sprint,0,0
42.24111827956988,Blizzard 4,1,1.966
44.69273118279569,Paradox,1,0
45.392731182795686,Transpose,0,0
47.1443440860215,Paradox,1,0
49.595956989247306,Fire 3,1,0
52.04756989247312,Fire 4,1,1.966
54.49918279569892,Fire 4,1,1.966
56.950795698924736,Fire 4,1,1.966
59.40240860215054,High Thunder,1,0
60.10240860215055,Addle,0,0
61.85402150537634,Fire 4,1,1.966
64.30563440860215,Fire 4,1,1.966
66.75724731182795,Fire 4,1,1.966
69.20886021505375,Flare Star,1,1.966
71.66047311827954,Despair,1,0
72.36047311827954,Swiftcast,0,0
73.06047311827953,Transpose,0,0
74.11208602150535,Blizzard 3,1,0
76.56369892473116,Blizzard 4,1,1.966
79.01531182795695,Paradox,1,0
79.71531182795694,Transpose,0,0
81.46692473118276,Paradox,1,0
83.91853763440858,Fire 3,1,0
86.37015053763439,Fire 4,1,1.966
88.8217634408602,High Thunder,1,0
91.273376344086,Fire 4,1,1.966
93.72498924731181,Fire 4,1,1.966
96.1766021505376,Fire 4,1,1.966
98.6282150537634,Xenoglossy,1,0
99.38700000000001,Triplecast,0,0
101.07982795698918,Fire 4,1,0
103.531440860215,Fire 4,1,0
104.784,Sprint,0,0
105.98305376344078,Flare Star,1,0
108.4346666666666,Despair,1,0
109.13466666666662,Transpose,0,0
110.88627956989244,Paradox,1,0
112.58627956989243,Tincture,0,0
113.33789247311823,Xenoglossy,1,0
114.13466666666662,Transpose,0,0
114.83466666666662,Manafont,0,0
115.78950537634404,Fire 4,1,1.966
118.24111827956985,High Thunder,1,0
120.69273118279565,Paradox,1,0
121.39273118279564,Amplifier,0,0
122.09273118279565,Ley Lines,0,0
123.14434408602145,Fire 4,1,1.671
125.23036559139783,Fire 4,1,1.671
127.3163870967742,Fire 4,1,1.671
129.40240860215056,Fire 4,1,1.671
131.48843010752688,Fire 4,1,1.671
133.5744516129032,Flare Star,1,1.671
135.66047311827958,Xenoglossy,1,0
137.74649462365593,Xenoglossy,1,0
138.44649462365592,Swiftcast,0,0
139.83251612903226,Xenoglossy,1,0
141.91853763440858,Despair,1,0
142.6185376344086,Transpose,0,0
144.00455913978496,Blizzard 3,1,0
145.02000000000007,Aetherial Manipulation,0,0
146.45617204301075,High Thunder,1,0
148.90778494623655,Blizzard 4,1,1.966
151.35939784946234,Paradox,1,0
152.05939784946233,Triplecast,0,0
152.75939784946232,Transpose,0,0
153.8110107526881,Fire 3,1,0
156.2626236559139,Fire 4,1,0
158.71423655913972,Fire 4,1,0
161.16584946236551,Fire 4,1,0
162.244,Triplecast,0,0
163.67000000000002,Fire 4,1,0
166.1216129032258,Fire 4,1,0
168.5732258064516,Fire 4,1,0
171.0248387096774,Paradox,1,0
171.72483870967739,Lucid Dreaming,0,0
173.4764516129032,High Thunder,1,0
180.11899999999997,Despair,1,0
180.819,Swiftcast,0,0
181.519,Sprint,0,0
182.57061290322585,Flare Star,1,0
183.27061290322584,Transpose,0,0
185.02222580645164,Xenoglossy,1,0
187.47383870967747,Paradox,1,0
188.85900000000007,Transpose,0,0
189.92545161290326,Fire 3,1,0
192.37706451612902,Despair,1,0
193.85900000000004,Transpose,0,0
194.82867741935485,Paradox,1,0
197.28029032258064,Umbral Soul,1,0
199.73190322580646,Umbral Soul,1,0
202.18351612903228,Umbral Soul,1,0
208.27,High Thunder,1,0
208.97,Transpose,0,0
209.67,Ley Lines,0,0
210.7216129032258,Paradox,1,0
212.80763440860215,Fire 3,1,0
214.8936559139785,Fire 4,1,1.671
216.97967741935483,Fire 4,1,1.671
219.06569892473118,Fire 4,1,1.671
221.15172043010753,Fire 4,1,1.671
223.23774193548388,Fire 4,1,1.671
225.32376344086023,Fire 4,1,1.671
227.4097849462366,Despair,1,0
228.10978494623663,Manafont,0,0
228.80978494623662,Addle,0,0
229.5097849462366,Flare Star,1,1.671
231.59580645161296,Fire 4,1,1.966
234.04741935483878,Fire 4,1,1.966
236.4990322580646,Fire 4,1,1.966
238.95064516129042,High Thunder,1,0
241.40225806451622,Paradox,1,0
243.853870967742,Fire 4,1,1.966
246.3054838709678,Fire 4,1,1.966
248.75709677419363,Fire 4,1,1.966
251.20870967741945,Xenoglossy,1,0
251.90870967741944,Amplifier,0,0
253.66032258064524,Flare Star,1,1.966
256.1119354838709,Xenoglossy,1,0
258.5635483870967,Xenoglossy,1,0
259.26354838709676,Swiftcast,0,0
261.01516129032257,Xenoglossy,1,0
263.4667741935483,Despair,1,0
264.16677419354835,Transpose,0,0
265.91838709677415,High Thunder,1,0
268.36999999999995,Blizzard 3,1,0
270.82161290322574,Blizzard 4,1,1.966
273.2732258064515,Paradox,1,0
273.9732258064515,Transpose,0,0
275.72483870967733,Fire 3,1,0
278.1764516129032,Fire 4,1,1.966
280.628064516129,Paradox,1,0
281.328064516129,Triplecast,0,0
283.0796774193548,Fire 4,1,0
285.5312903225807,Fire 4,1,0
287.98290322580647,Fire 4,1,0
290.43451612903226,Fire 4,1,1.966
292.88612903225805,Fire 4,1,1.966
295.3377419354839,High Thunder,1,0
297.7893548387097,Flare Star,1,1.966
300.24096774193555,Despair,1,0
300.9409677419355,Swiftcast,0,0
301.64096774193547,Transpose,0,0
302.6925806451613,Blizzard 3,1,0
305.1441935483871,Blizzard 4,1,1.966
307.5958064516129,Paradox,1,0
308.2958064516129,Transpose,0,0
310.0474193548387,Fire 3,1,0
312.4990322580645,Fire 4,1,1.966
314.9506451612903,Paradox,1,0
317.40225806451616,Fire 4,1,1.966
319.85387096774195,Fire 4,1,1.966
322.3054838709678,High Thunder,1,0
323.0054838709678,Triplecast,0,0
324.7570967741936,Fire 4,1,0
327.2087096774194,Fire 4,1,0
329.66032258064524,Fire 4,1,0
332.11193548387104,Despair,1,0
332.811935483871,Manafont,0,0
333.511935483871,Manaward,0,0
334.56354838709683,Paradox,1,0
337.0151612903227,Xenoglossy,1,0
337.71516129032267,Addle,0,0
338.41516129032266,Ley Lines,0,0
339.4667741935484,Flare Star,1,1.671
341.55279569892474,Fire 4,1,1.671
343.6388172043011,Fire 4,1,1.671
345.72483870967744,Fire 4,1,1.671
347.81086021505376,Fire 4,1,1.671
349.89688172043014,Fire 4,1,1.671
351.98290322580647,High Thunder,1,0
354.0689247311828,Fire 4,1,1.671
356.15494623655917,Flare Star,1,1.671
358.2409677419355,Despair,1,0
358.94096774193554,Lucid Dreaming,0,0
360.3269892473119,Xenoglossy,1,0
361.02698924731186,Transpose,0,0
362.7786021505376,Xenoglossy,1,0
363.4786021505376,Sprint,0,0
365.2302150537634,Xenoglossy,1,0
367.6818279569892,Paradox,1,0
369.06600000000003,Transpose,0,0
370.13344086021505,Fire 3,1,0
371.90870967741927,Amplifier,0,0
372.60870967741926,Despair,1,0
374.14500000000004,Transpose,0,0
375.0603225806451,Xenoglossy,1,0
377.51193548387084,Paradox,1,0
380.44,Umbral Soul,1,0
382.89161290322585,Umbral Soul,1,0
385.3432258064517,Umbral Soul,1,0
427.609,High Thunder,1,0
428.30899999999997,Transpose,0,0
429.009,Ley Lines,0,0
430.06061290322583,Paradox,1,0
432.1466344086022,Fire 3,1,0
432.8466344086022,Addle,0,0
434.23265591397853,Fire 4,1,1.671
436.31867741935486,Fire 4,1,1.671
438.4046989247312,Fire 4,1,1.671
440.4907204301075,Fire 4,1,1.671
442.5767419354838,Fire 4,1,1.671
444.66276344086015,Fire 4,1,1.671
446.7487849462365,Flare Star,1,1.671
448.83480645161285,Despair,1,0
450.9208279569892,High Thunder,1,0
451.6208279569892,Manafont,0,0
453.372440860215,Fire 4,1,1.966
455.8240537634409,Xenoglossy,1,0
458.27566666666667,Paradox,1,0
460.7272795698925,Fire 4,1,1.966
463.1788924731183,High Thunder,1,0
465.63050537634416,Fire 4,1,1.966
468.08211827956995,Fire 4,1,1.966
470.53373118279575,Fire 4,1,1.966
472.98534408602154,Fire 4,1,1.966
475.43695698924734,Flare Star,1,1.966
477.88856989247313,Despair,1,0
478.5885698924732,Transpose,0,0
480.34018279569904,Blizzard 4,1,1.966
482.7917956989249,High Thunder,1,0
483.49179569892493,Triplecast,0,0
484.1917956989249,Tincture,0,0
485.24340860215074,Paradox,1,0
485.9434086021508,Transpose,0,0
486.64340860215077,Ley Lines,0,0
487.6950215053766,Flare,1,0
489.7810430107529,Flare,1,0
491.86706451612923,Foul,1,0
