time,action,isGCD,castTime
-5,Fire 3,1,3.44
-1.4503311258278146,High Thunder,1,0
-0.7503311258278149,Amplifier,0,0
-0.05033112582781474,Ley Lines,0,0
1,Fire 4,1,1.671
3.086092715231789,Fire 4,1,1.671
5.172185430463578,Fire 4,1,1.671
7.2582781456953676,Fire 4,1,1.671
9.344370860927155,Despair,1,0
10.044370860927156,Manafont,0,0
11.430463576158942,Fire 4,1,1.671
13.516556291390728,Fire 4,1,1.671
15.602649006622514,Flare Star,1,1.671
17.6887417218543,Fire 4,1,1.671
19.774834437086085,Fire 4,1,1.671
21.860927152317878,Fire 4,1,1.966
24.311258278145694,Paradox,1,0
25.011258278145693,Swiftcast,0,0
25.711258278145692,Triplecast,0,0
26.761589403973506,Fire 4,1,0
29.211920529801333,High Thunder,1,0
31.66225165562915,Flare,1,0
34.11258278145696,Flare Star,1,0
34.81258278145696,Transpose,0,0
36.56291390728477,Blizzard 3,1,0
39.01324503311259,Blizzard 4,1,1.966
41.46357615894041,Paradox,1,0
42.16357615894041,Transpose,0,0
43.91390728476823,Fire 3,1,0
46.364238410596045,Fire 4,1,1.966
48.81456953642386,Fire 4,1,1.966
51.26490066225168,Fire 4,1,1.966
53.71523178807949,Paradox,1,0
56.1655629139073,Fire 4,1,1.966
58.61589403973511,High Thunder,1,0
59.31589403973511,Triplecast,0,0
61.066225165562926,Fire 4,1,0
63.51655629139074,Fire 4,1,0
65.96688741721856,Flare Star,1,0
66.66688741721856,Swiftcast,0,0
68.41721854304637,Despair,1,0
69.11721854304638,Transpose,0,0
69.81721854304637,Ley Lines,0,0
70.86754966887418,Blizzard 3,1,0
72.95364238410596,Blizzard 4,1,1.671
75.03973509933775,Xenoglossy,1,0
77.12582781456953,Paradox,1,0
77.82582781456952,Transpose,0,0
79.21192052980132,Fire 3,1,0
81.2980132450331,Fire 4,1,1.671
83.38410596026488,Fire 4,1,1.671
85.47019867549666,Fire 4,1,1.671
87.55629139072846,Paradox,1,0
90.315,Fire 4,1,1.966
92.76533112582781,Fire 4,1,1.966
95.21566225165563,Fire 4,1,1.966
97.66599337748345,Flare Star,1,1.966
100.11632450331128,Xenoglossy,1,0
102.56665562913908,Xenoglossy,1,0
105.03332229580573,Despair,1,0
105.73332229580575,Transpose,0,0
107.48365342163358,Umbral Soul,1,0
109.93398454746139,Umbral Soul,1,0
112.3843156732892,Umbral Soul,1,0
114.83464679911701,Umbral Soul,1,0
115.534646799117,Transpose,0,0
117.28497792494481,Fire 3,1,0
117.9849779249448,Swiftcast,0,0
119.73530905077261,Fire 4,1,0
120.43530905077262,Amplifier,0,0
121.23530905077267,Ley Lines,0,0
122.18564017660047,Fire 4,1,1.671
124.27173289183224,Fire 4,1,1.671
126.35782560706403,Xenoglossy,1,0
128.44391832229584,High Thunder,1,0
130.53001103752763,Fire 4,1,1.671
132.61610375275944,Fire 4,1,1.671
134.70219646799123,Fire 4,1,1.671
136.78828918322301,Despair,1,0
137.48828918322303,Manafont,0,0
138.8743818984548,Flare Star,1,1.671
140.96047461368659,Fire 4,1,1.671
143.0465673289184,Fire 4,1,1.966
145.49689845474617,Fire 4,1,1.966
147.947229580574,Fire 4,1,1.966
150.39756070640183,Fire 4,1,1.966
152.84789183222964,Fire 4,1,1.966
155.29822295805747,Flare Star,1,1.966
157.74855408388527,Xenoglossy,1,0
160.19888520971307,Despair,1,0
160.8988852097131,Transpose,0,0
162.64921633554093,Umbral Soul,1,0
165.09954746136876,Umbral Soul,1,0
167.5498785871966,Umbral Soul,1,0
170.00020971302442,Umbral Soul,1,0
172.45054083885222,Umbral Soul,1,0
173.15054083885224,Transpose,0,0
177.28800000000004,Flare,1,1.966
179.73833112582787,Flare,1,1.966
182.1886622516557,Flare Star,1,1.966
184.6389933774835,Foul,1,0
