time,action,isGCD,castTime
-5,Fire 3,1,3.44
-1.4503311258278146,High Thunder,1,0
-0.8503311258278146,Amplifier,0,0
-0.2503311258278149,Ley Lines,0,0
1,Fire 4,1,1.671
3.0860927152317874,Fire 4,1,1.671
5.172185430463575,Fire 4,1,1.671
7.258278145695364,Fire 4,1,1.671
9.344370860927153,Despair,1,0
9.944370860927153,Manafont,0,0
11.430463576158942,Fire 4,1,1.671
13.516556291390728,Fire 4,1,1.671
15.602649006622514,Flare Star,1,1.671
17.6887417218543,Fire 4,1,1.671
19.774834437086085,Fire 4,1,1.671
21.860927152317878,Fire 4,1,1.966
24.311258278145694,Paradox,1,0
24.91125827814569,Swiftcast,0,0
25.511258278145693,Triplecast,0,0
26.76158940397351,Fire 4,1,0
29.211920529801326,High Thunder,1,0
31.662251655629134,Flare,1,0
34.11258278145695,Flare Star,1,0
34.71258278145695,Transpose,0,0
36.562913907284766,Blizzard 3,1,0
39.01324503311258,Blizzard 4,1,1.966
41.463576158940405,Paradox,1,0
42.06357615894041,Transpose,0,0
43.91390728476822,Fire 3,1,0
46.36423841059604,Fire 4,1,1.966
48.81456953642386,Fire 4,1,1.966
51.26490066225168,Fire 4,1,1.966
53.71523178807949,Paradox,1,0
56.16556291390731,Fire 4,1,1.966
58.61589403973511,High Thunder,1,0
59.215894039735105,Triplecast,0,0
61.06622516556291,Fire 4,1,0
63.516556291390714,Fire 4,1,0
65.96688741721852,Flare Star,1,0
66.56688741721851,Swiftcast,0,0
68.41721854304633,Despair,1,0
69.01721854304633,Transpose,0,0
69.61721854304633,Ley Lines,0,0
70.86754966887415,Blizzard 3,1,0
72.95364238410595,Blizzard 4,1,1.671
75.03973509933775,Xenoglossy,1,0
77.12582781456953,Paradox,1,0
77.72582781456953,Transpose,0,0
79.2119205298013,Fire 3,1,0
81.29801324503309,Fire 4,1,1.671
83.38410596026486,Fire 4,1,1.671
85.47019867549665,Fire 4,1,1.671
87.55629139072843,Paradox,1,0
90.315,Fire 4,1,1.966
92.76533112582781,Fire 4,1,1.966
95.21566225165563,Fire 4,1,1.966
97.66599337748346,Flare Star,1,1.966
100.11632450331125,Xenoglossy,1,0
102.56665562913906,Xenoglossy,1,0
105.01698675496687,Despair,1,0
105.61698675496686,Transpose,0,0
107.46731788079467,Umbral Soul,1,0
109.91764900662248,Umbral Soul,1,0
112.36798013245031,Umbral Soul,1,0
114.81831125827814,Umbral Soul,1,0
115.41831125827814,Transpose,0,0
117.26864238410596,Fire 3,1,0
117.86864238410597,Swiftcast,0,0
119.71897350993379,Fire 4,1,0
120.31897350993378,Amplifier,0,0
121.01897350993383,Ley Lines,0,0
122.16930463576165,Fire 4,1,1.671
124.25539735099343,Fire 4,1,1.671
126.34149006622522,Xenoglossy,1,0
128.42758278145703,High Thunder,1,0
130.51367549668882,Fire 4,1,1.671
132.59976821192063,Fire 4,1,1.671
134.68586092715242,Fire 4,1,1.671
136.7719536423842,Despair,1,0
137.37195364238423,Manafont,0,0
138.85804635761602,Flare Star,1,1.671
140.9441390728478,Fire 4,1,1.671
143.0302317880796,Fire 4,1,1.966
145.48056291390742,Fire 4,1,1.966
147.93089403973525,Fire 4,1,1.966
150.38122516556305,Fire 4,1,1.966
152.83155629139088,Fire 4,1,1.966
155.28188741721874,Flare Star,1,1.966
157.73221854304654,Xenoglossy,1,0
160.18254966887434,Despair,1,0
160.78254966887437,Transpose,0,0
162.63288079470217,Umbral Soul,1,0
165.08321192052995,Umbral Soul,1,0
167.53354304635775,Umbral Soul,1,0
169.98387417218555,Umbral Soul,1,0
172.43420529801332,Umbral Soul,1,0
173.03420529801332,Transpose,0,0
177.288,Flare,1,1.966
179.73833112582778,Flare,1,1.966
182.1886622516556,Flare Star,1,1.966
184.63899337748336,Foul,1,0
185.23899337748338,Swiftcast,0,0
