time,action,isGCD,castTime
-1,Stormbite,1,0
1.5166666666666675,Caustic Bite,1,0
2.2166666666666677,Raging Strikes,0,0
2.916666666666668,Battle Voice,0,0
3.616666666666669,The Wanderer's Minuet,0,0
4.316666666666668,Burst Shot,1,0
5.016666666666669,Empyreal Arrow,0,0
6.8333333333333375,Iron Jaws,1,0
7.533333333333337,Radiant Finale,0,0
8.233333333333338,Barrage,0,0
9.350000000000003,Refulgent Arrow,1,0
10.050000000000004,Sidewinder,0,0
11.86666666666667,Apex Arrow,1,0
14.383333333333336,Radiant Encore,1,0
45.000000000000014,Mage's Ballad,0,0
45.70000000000002,Burst Shot,1,0
46.40000000000001,Empyreal Arrow,0,0
47.100000000000016,Heartbreak Shot,0,0
48.21666666666669,Burst Shot,1,0
50.73333333333335,Refulgent Arrow,1,0
53.250000000000014,Iron Jaws,1,0
53.95000000000002,Heartbreak Shot,0,0
55.76666666666668,Burst Shot,1,0
70.04999999999998,Sidewinder,0,0
70.74999999999999,Burst Shot,1,0
73.26666666666665,Apex Arrow,1,0
75.78333333333332,Blast Arrow,1,0
78.3,Radiant Encore,1,0
90.00000000000003,Army's Paeon,0,0
90.70000000000003,Burst Shot,1,0
91.40000000000003,Empyreal Arrow,0,0
92.10000000000004,Heartbreak Shot,0,0
93.21666666666671,Burst Shot,1,0
95.53333333333339,Refulgent Arrow,1,0
97.85000000000005,Iron Jaws,1,0
128.23333333333346,Barrage,0,0
128.93333333333348,Refulgent Arrow,1,0
131.05000000000013,Resonant Arrow,1,0
133.16666666666677,Burst Shot,1,0
133.8666666666668,Heartbreak Shot,0,0
135,The Wanderer's Minuet,0,0
135.7,Raging Strikes,0,0
136.39999999999998,Battle Voice,0,0
137.1,Radiant Finale,0,0
137.8,Burst Shot,1,0
138.50000000000003,Empyreal Arrow,0,0
139.20000000000005,Pitch Perfect,0,0
140.0166666666667,Iron Jaws,1,0
248.2333333333335,Barrage,0,0
248.93333333333348,Refulgent Arrow,1,0
249.63333333333347,Sidewinder,0,0
251.4500000000001,Apex Arrow,1,0
253.96666666666675,Blast Arrow,1,0
256.48333333333346,Radiant Encore,1,0
