time,action,isGCD,castTime
-1,Stormbite,1,0
1.5166666666666675,Caustic Bite,1,0
2.2166666666666677,Raging Strikes,0,0
2.916666666666668,Battle Voice,0,0
3.616666666666669,The Wanderer's Minuet,0,0
4.316666666666668,Burst Shot,1,0
5.016666666666669,Empyreal Arrow,0,0
6.8333333333333375,Iron Jaws,1,0
7.533333333333337,Radiant Finale,0,0
8.233333333333338,Barrage,0,0
9.350000000000003,Refulgent Arrow,1,0
10.050000000000004,Sidewinder,0,0
11.86666666666667,Apex Arrow,1,0
14.383333333333336,Radiant Encore,1,0
