time,damageSource,potency
-0.9349999999999996,STANDARD_FINISH@-1.4749999999999996,360
-0.40499999999999936,ATTACK@-0.4049999999999996,94.5
2.7150000000000007,ATTACK@2.7150000000000007,94.5
5.834999999999999,ATTACK@5.835,94.5
6.114999999999998,TECHNICAL_FINISH@5.574999999999999,367.5
7.923333333333332,TILLANA@7.083333333333332,765.626736463108
8.954999999999997,ATTACK@8.954999999999997,114.8440104694662
12.074999999999996,ATTACK@12.074999999999994,114.8440104694662
15.194999999999997,ATTACK@15.194999999999995,114.8440104694662
18.314999999999998,ATTACK@18.314999999999998,114.8440104694662
21.435,ATTACK@21.435,114.8440104694662
24.555,ATTACK@24.555,114.8440104694662
27.675000000000004,ATTACK@27.675000000000004,94.5
27.948333333333345,DANCE_OF_THE_DAWN@27.508333333333347,1050
30.795,ATTACK@30.795,94.5
32.96500000000001,DANCE_OF_THE_DAWN@32.52500000000001,1050
33.915000000000006,ATTACK@33.915000000000006,94.5
35.83333333333334,CASCADE@35.033333333333346,231
37.035000000000004,ATTACK@37.035000000000004,94.5
38.521666666666675,FOUNTAIN@37.54166666666668,294
40.154999999999994,ATTACK@40.155,94.5
40.67,REVERSE_CASCADE@40.050000000000004,294
43.275,ATTACK@43.275,94.5
43.76833333333334,FOUNTAINFALL@42.55833333333334,357
46.395,ATTACK@46.395,94.5
48.375000000000014,CASCADE@47.57500000000001,231
49.51500000000001,ATTACK@49.51500000000001,94.5
51.063333333333354,FOUNTAIN@50.08333333333335,294
52.63500000000001,ATTACK@52.63500000000001,94.5
53.21166666666669,REVERSE_CASCADE@52.59166666666668,294
55.75500000000001,ATTACK@55.75500000000001,94.5
56.31000000000002,FOUNTAINFALL@55.100000000000016,357
58.87500000000001,ATTACK@58.875000000000014,94.5
61.67333333333336,STANDARD_FINISH@61.133333333333354,360
61.99500000000002,ATTACK@61.99500000000002,94.5
63.9016666666667,LAST_DANCE@62.641666666666694,567
64.66166666666669,FAN_DANCE_III@64.0416666666667,231
65.11500000000001,ATTACK@65.11500000000002,94.5
65.36166666666668,FAN_DANCE_IV@64.74166666666669,483
65.88166666666667,SABER_DANCE@65.44166666666668,567
68.235,ATTACK@68.23500000000001,94.5
71.355,ATTACK@71.355,94.5
74.47500000000001,ATTACK@74.47500000000001,94.5
77.59500000000001,ATTACK@77.59500000000001,94.5
80.715,ATTACK@80.715,94.5
83.83500000000001,ATTACK@83.83500000000001,94.5
86.955,ATTACK@86.955,94.5
90.07499999999999,ATTACK@90.075,94.5
90.79999999999998,CASCADE@90,231
93.19499999999998,ATTACK@93.19499999999998,94.5
93.48833333333332,FOUNTAIN@92.50833333333331,294
95.63666666666664,REVERSE_CASCADE@95.01666666666665,294
96.31499999999997,ATTACK@96.31499999999997,94.5
98.73499999999999,FOUNTAINFALL@97.52499999999998,357
99.43499999999997,ATTACK@99.43499999999997,94.5
100.47333333333331,SABER_DANCE@100.03333333333332,567
102.55499999999996,ATTACK@102.55499999999998,94.5
102.98166666666664,DANCE_OF_THE_DAWN@102.54166666666664,1050
105.67499999999998,ATTACK@105.67499999999998,94.5
108.795,ATTACK@108.79499999999999,94.5
109.11500000000001,STANDARD_FINISH@108.575,378
111.915,ATTACK@111.915,94.5
115.03500000000001,ATTACK@115.03500000000001,94.5
118.15500000000002,ATTACK@118.15500000000002,94.5
121.27500000000002,ATTACK@121.27500000000002,94.5
124.39500000000001,ATTACK@124.39500000000001,90
127.51500000000001,ATTACK@127.51500000000001,90
130.63500000000002,ATTACK@130.63500000000002,90
133.75500000000002,ATTACK@133.75500000000002,90
136.875,ATTACK@136.875,90
139.99499999999998,ATTACK@139.99499999999998,90
141.08166666666665,TECHNICAL_FINISH@140.54166666666666,350
142.88999999999993,TILLANA@142.04999999999995,729.1683204410554
143.11499999999992,ATTACK@143.11499999999995,109.3752480661583
146.23499999999993,ATTACK@146.23499999999993,109.3752480661583
147.50666666666658,DANCE_OF_THE_DAWN@147.06666666666658,1215.2805340684256
149.3549999999999,ATTACK@149.3549999999999,109.3752480661583
150.46499999999992,STARFALL_DANCE@149.5749999999999,1283.556876208938
152.47499999999994,ATTACK@152.47499999999994,109.3752480661583
152.52333333333326,SABER_DANCE@152.08333333333326,656.2514883969499
