time,action,isGCD,castTime
-5,Standard Step,1,0
-3.4916666666666667,Emboite,1,0
-2.4833333333333334,Entrechat,1,0
-1.4749999999999996,Standard Finish,1,0
0.0333333333333341,Technical Step,1,0
1.5416666666666679,Emboite,1,0
2.5500000000000007,Entrechat,1,0
3.5583333333333336,Jete,1,0
4.566666666666666,Pirouette,1,0
5.574999999999999,Technical Finish,1,0
6.274999999999999,Devilment,0,0
7.083333333333332,Tillana,1,0
25.000000000000007,Finishing Move,1,0
27.508333333333347,Dance of the Dawn,1,0
28.208333333333343,Fan Dance III,0,0
28.908333333333346,Fan Dance IV,0,0
30.016666666666673,Starfall Dance,1,0
32.52500000000001,Dance of the Dawn,1,0
35.033333333333346,Cascade,1,0
37.54166666666668,Fountain,1,0
40.050000000000004,Reverse Cascade,1,0
42.55833333333334,Fountainfall,1,0
45.06666666666667,Last Dance,1,0
47.57500000000001,Cascade,1,0
50.08333333333335,Fountain,1,0
52.59166666666668,Reverse Cascade,1,0
55.100000000000016,Fountainfall,1,0
57.60833333333335,Standard Step,1,0
59.116666666666674,Emboite,1,0
60.125000000000014,Entrechat,1,0
61.133333333333354,Standard Finish,1,0
62.641666666666694,Last Dance,1,0
63.3416666666667,Flourish,0,0
64.0416666666667,Fan Dance III,0,0
64.74166666666669,Fan Dance IV,0,0
65.44166666666668,Saber Dance,1,0
67.95000000000002,Starfall Dance,1,0
90,Cascade,1,0
92.50833333333331,Fountain,1,0
95.01666666666665,Reverse Cascade,1,0
97.52499999999998,Fountainfall,1,0
100.03333333333332,Saber Dance,1,0
102.54166666666664,Dance of the Dawn,1,0
105.04999999999998,Standard Step,1,0
106.55833333333332,Jete,1,0
107.56666666666666,Pirouette,1,0
108.575,Standard Finish,1,0
110.08333333333334,Last Dance,1,0
135,Technical Step,1,0
136.50833333333333,Emboite,1,0
137.51666666666665,Entrechat,1,0
138.52499999999998,Jete,1,0
139.5333333333333,Pirouette,1,0
140.54166666666666,Technical Finish,1,0
141.24166666666665,Devilment,0,0
142.04999999999995,Tillana,1,0
144.55833333333325,Finishing Move,1,0
147.06666666666658,Dance of the Dawn,1,0
147.76666666666657,Fan Dance III,0,0
148.46666666666655,Fan Dance IV,0,0
149.5749999999999,Starfall Dance,1,0
152.08333333333326,Saber Dance,1,0
