time,action,isGCD,castTime
-10,Form Shift,1,0
-1,Dragon Kick,1,0
0.28999999999999915,Perfect Balance,0,0
0.9416666666666647,Twin Snakes,1,0
2.061666666666664,Tincture,0,0
2.8833333333333293,Demolish,1,0
3.5033333333333303,Brotherhood,0,0
4.123333333333331,Riddle of Fire,0,0
4.824999999999999,Leaping Opo,1,0
5.4449999999999985,The Forbidden Chakra,0,0
6.064999999999998,Riddle of Wind,0,0
6.766666666666666,Rising Phoenix,1,0
8.708333333333332,Dragon Kick,1,0
10.649999999999999,Wind's Reply,1,0
11.269999999999996,The Forbidden Chakra,0,0
12.591666666666661,Fire's Reply,1,0
14.533333333333328,Leaping Opo,1,0
15.153333333333329,Perfect Balance,0,0
15.773333333333326,The Forbidden Chakra,0,0
16.47499999999999,Dragon Kick,1,0
18.41666666666665,Leaping Opo,1,0
19.03666666666665,The Forbidden Chakra,0,0
20.358333333333317,Dragon Kick,1,0
22.299999999999983,Elixir Burst,1,0
24.241666666666646,Leaping Opo,1,0
45.00000000000002,Dragon Kick,1,0
46.94166666666668,Twin Snakes,1,0
48.88333333333334,Demolish,1,0
50.82500000000001,Leaping Opo,1,0
52.76666666666668,Rising Raptor,1,0
54.70833333333336,Pouncing Coeurl,1,0
56.650000000000034,Dragon Kick,1,0
58.5916666666667,Twin Snakes,1,0
60.53333333333336,Demolish,1,0
61.153333333333364,Perfect Balance,0,0
62.47500000000004,Leaping Opo,1,0
64.41666666666671,Dragon Kick,1,0
66.35833333333339,Leaping Opo,1,0
68.30000000000005,Phantom Rush,1,0
68.92000000000006,The Forbidden Chakra,0,0
90,Riddle of Fire,0,0
123.50333333333333,Brotherhood,0,0
124.12333333333333,Dragon Kick,1,0
126.065,Twin Snakes,1,0
128.0066666666667,Demolish,1,0
129.94833333333335,Leaping Opo,1,0
131.89000000000001,Rising Raptor,1,0
133.83166666666668,Pouncing Coeurl,1,0
134.45166666666668,Riddle of Wind,0,0
135.77333333333337,Wind's Reply,1,0
137.71500000000003,Fire's Reply,1,0
138.33500000000004,The Forbidden Chakra,0,0
138.955,Perfect Balance,0,0
139.6566666666667,Dragon Kick,1,0
141.59833333333336,Leaping Opo,1,0
143.54000000000002,Dragon Kick,1,0
145.48166666666668,Elixir Burst,1,0
147.42333333333335,Dragon Kick,1,0
149.365,Twin Snakes,1,0
151.3066666666667,Demolish,1,0
153.24833333333336,Leaping Opo,1,0
155.19000000000003,Rising Raptor,1,0
157.13166666666672,Pouncing Coeurl,1,0
159.0733333333334,Masterful Blitz,1,0
