time,action,isGCD,castTime
-10,Form Shift,1,0
-1,Dragon Kick,1,0
0.28999999999999915,Perfect Balance,0,0
0.9416666666666647,Twin Snakes,1,0
2.061666666666664,Tincture,0,0
2.8833333333333293,Demolish,1,0
3.5033333333333303,Brotherhood,0,0
4.123333333333331,Riddle of Fire,0,0
4.824999999999999,Leaping Opo,1,0
5.4449999999999985,The Forbidden Chakra,0,0
6.064999999999998,Riddle of Wind,0,0
6.766666666666666,Rising Phoenix,1,0
8.708333333333332,Dragon Kick,1,0
10.649999999999999,Wind's Reply,1,0
11.269999999999996,The Forbidden Chakra,0,0
12.591666666666661,Fire's Reply,1,0
14.533333333333328,Leaping Opo,1,0
15.153333333333329,Perfect Balance,0,0
15.773333333333326,The Forbidden Chakra,0,0
16.47499999999999,Dragon Kick,1,0
18.41666666666665,Leaping Opo,1,0
19.03666666666665,The Forbidden Chakra,0,0
20.358333333333317,Dragon Kick,1,0
22.299999999999983,Elixir Burst,1,0
24.241666666666646,Leaping Opo,1,0
