time,action,isGCD,castTime
-4.75,Rainbow Drip,1,4
-0.009999999999999787,Striking Muse,0,0
0.5899999999999999,Starry Muse,0,0
1.2666666666666657,Hammer Stamp,1,0
1.8666666666666654,Pom Muse,0,0
2.466666666666665,Subtractive Palette,0,0
3.7833333333333314,Blizzard in Cyan,1,1.725
6.266666666666666,Stone in Yellow,1,1.725
8.749999999999998,Thunder in Magenta,1,1.725
11.233333333333333,Comet in Black,1,0
13.716666666666665,Star Prism,1,0
15.599999999999998,Hammer Brush,1,0
18.116666666666667,Polishing Hammer,1,0
20.633333333333333,Rainbow Drip,1,0
23.150000000000002,Wing Motif,1,3
26.283333333333335,Winged Muse,0,0
27.166666666666668,Fire in Red,1,1.5
28.800000000000004,Mog of the Ages,0,0
29.683333333333337,Aero in Green,1,1.5
32.2,Water in Blue,1,1.5
33.833333333333336,Swiftcast,0,0
34.71666666666666,Fire in Red,1,0
37.233333333333334,Aero in Green,1,1.5
39.75,Water in Blue,1,1.5
42.26666666666667,Fire in Red,1,1.5
44.783333333333346,Aero in Green,1,1.5
47.30000000000001,Water in Blue,1,1.5
49.81666666666668,Holy in White,1,0
50.41666666666668,Subtractive Palette,0,0
52.33333333333334,Blizzard in Cyan,1,2.3
55.650000000000006,Hammer Motif,1,3
58.78333333333334,Striking Muse,0,0
59.66666666666667,Claw Motif,1,3
62.8,Clawed Muse,0,0
63.68333333333332,Maw Motif,1,3
66.81666666666666,Fanged Muse,0,0
67.69999999999999,Pom Motif,1,3
71.71666666666665,Starry Sky Motif,1,3
75.73333333333335,Hammer Stamp,1,0
78.25000000000001,Hammer Brush,1,0
80.76666666666668,Polishing Hammer,1,0
83.28333333333335,Comet in Black,1,0
86.60000000000002,Blizzard in Cyan,1,2.3
89.91666666666667,Stone in Yellow,1,2.3
92.35000000000001,Pom Muse,0,0
93.23333333333333,Water in Blue,1,1.5
94.86666666666667,Subtractive Palette,0,0
95.75,Blizzard in Cyan,1,2.3
99.06666666666666,Hammer Motif,1,3
103.08333333333333,Wing Motif,1,3
106.21666666666667,Striking Muse,0,0
107.1,Hammer Stamp,1,0
109.61666666666666,Hammer Brush,1,0
112.13333333333333,Polishing Hammer,1,0
114.64999999999998,Hammer Motif,1,3
118.66666666666666,Comet in Black,1,0
119.99000000000002,Striking Muse,0,0
120.89000000000001,Starry Muse,0,0
121.98333333333332,Star Prism,1,0
123.86666666666667,Hammer Stamp,1,0
126.38333333333335,Hammer Brush,1,0
128.9,Polishing Hammer,1,0
129.5,Retribution of the Madeen,0,0
131.41666666666666,Blizzard in Cyan,1,1.725
133.89999999999998,Stone in Yellow,1,1.725
135.75,Subtractive Palette,0,0
136.38333333333335,Thunder in Magenta,1,1.725
138.8666666666667,Comet in Black,1,0
139.4666666666667,Winged Muse,0,0
141.35000000000002,Rainbow Drip,1,0
143.8666666666667,Blizzard in Cyan,1,2.3
147.18333333333337,Stone in Yellow,1,2.3
150.50000000000003,Water in Blue,1,1.5
153.01666666666668,Fire in Red,1,1.5
155.53333333333336,Aero in Green,1,1.5
158.05000000000004,Water in Blue,1,1.5
160.5666666666667,Fire in Red,1,1.5
163.08333333333337,Aero in Green,1,1.5
165.60000000000005,Water in Blue,1,1.5
168.1166666666667,Holy in White,1,0
170.63333333333338,Holy in White,1,0
171.23333333333338,Swiftcast,0,0
173.15000000000003,Claw Motif,1,0
173.75000000000006,Clawed Muse,0,0
179.5,Fire in Red,1,1.5
182.0166666666667,Aero in Green,1,1.5
184.53333333333336,Water in Blue,1,1.5
186.16666666666669,Subtractive Palette,0,0
187.05,Blizzard in Cyan,1,2.3
190.36666666666667,Comet in Black,1,0
193.6833333333333,Maw Motif,1,3
197.69999999999996,Hammer Motif,1,3
200.8333333333333,Striking Muse,0,0
201.7166666666666,Starry Sky Motif,1,3
207.34999999999997,Tincture,0,0
208,Hammer Stamp,1,0
210.51666666666668,Hammer Brush,1,0
213.03333333333336,Polishing Hammer,1,0
213.63333333333335,Mog of the Ages,0,0
215.55000000000004,Hammer Motif,1,3
219.5666666666667,Holy in White,1,0
222.08333333333337,Blizzard in Cyan,1,2.3
225.40000000000006,Stone in Yellow,1,2.3
228.7166666666667,Water in Blue,1,1.5
231.23333333333335,Fire in Red,1,1.5
233.75000000000003,Aero in Green,1,1.5
236.26666666666668,Water in Blue,1,1.5
237.90000000000003,Subtractive Palette,0,0
238.78333333333336,Blizzard in Cyan,1,2.3
241.2166666666667,Starry Muse,0,0
242.10000000000002,Stone in Yellow,1,1.725
244.5833333333334,Thunder in Magenta,1,1.725
247.06666666666675,Comet in Black,1,0
247.66666666666674,Subtractive Palette,0,0
249.55000000000007,Blizzard in Cyan,1,1.725
252.03333333333342,Star Prism,1,0
253.91666666666674,Rainbow Drip,1,0
254.51666666666677,Fanged Muse,0,0
255.1166666666668,Retribution of the Madeen,0,0
255.71666666666687,Striking Muse,0,0
256.43333333333356,Hammer Stamp,1,0
258.9500000000003,Hammer Brush,1,0
261.4666666666669,Polishing Hammer,1,0
263.9833333333337,Comet in Black,1,0
267.3000000000004,Pom Motif,1,3
270.4333333333337,Swiftcast,0,0
271.316666666667,Starry Sky Motif,1,0
271.91666666666697,Pom Muse,0,0
275.3333333333336,Hammer Motif,1,3
279.35000000000025,Wing Motif,1,3
282.4833333333336,Smudge,0,0
283.36666666666684,Blizzard in Cyan,1,2.3
285.8000000000001,Sprint,0,0
286.68333333333345,Stone in Yellow,1,2.3
290.00000000000006,Water in Blue,1,1.5
292.51666666666677,Fire in Red,1,1.5
295.03333333333336,Aero in Green,1,1.5
297.55,Water in Blue,1,1.5
299.18333333333334,Subtractive Palette,0,0
300.06666666666666,Blizzard in Cyan,1,2.3
303.3833333333334,Comet in Black,1,0
303.9833333333334,Striking Muse,0,0
306.7000000000001,Hammer Stamp,1,0
309.21666666666675,Stone in Yellow,1,2.3
312.5333333333334,Thunder in Magenta,1,2.3
314.96666666666675,Subtractive Palette,0,0
315.85000000000014,Hammer Brush,1,0
318.3666666666668,Blizzard in Cyan,1,2.3
321.6833333333334,Comet in Black,1,0
325.00000000000006,Stone in Yellow,1,2.3
328.31666666666666,Polishing Hammer,1,0
330.8333333333333,Thunder in Magenta,1,2.3
333.26666666666665,Winged Muse,0,0
334.15000000000003,Fire in Red,1,1.5
335.78333333333336,Mog of the Ages,0,0
336.6666666666667,Aero in Green,1,1.5
339.1833333333334,Water in Blue,1,1.5
341.7000000000001,Fire in Red,1,1.5
344.21666666666675,Aero in Green,1,1.5
346.73333333333346,Water in Blue,1,1.5
349.2500000000001,Claw Motif,1,3
352.3833333333334,Clawed Muse,0,0
353.26666666666677,Maw Motif,1,3
357.2833333333335,Fire in Red,1,1.5
359.8,Aero in Green,1,1.5
361.43333333333334,Starry Muse,0,0
362.31666666666666,Water in Blue,1,1.125
364.2,Star Prism,1,0
364.8,Subtractive Palette,0,0
366.08333333333337,Blizzard in Cyan,1,1.725
368.5666666666667,Stone in Yellow,1,1.725
371.05000000000007,Comet in Black,1,0
371.65000000000003,Fanged Muse,0,0
373.5333333333334,Rainbow Drip,1,0
374.13333333333344,Swiftcast,0,0
376.0500000000002,Thunder in Magenta,1,0
379.3666666666669,Pom Motif,1,3
383.38333333333355,Hammer Motif,1,3
387.4000000000002,Starry Sky Motif,1,3
390.53333333333353,Subtractive Palette,0,0
420.8,Striking Muse,0,0
427.6,Comet in Black,1,0
428.20000000000005,Retribution of the Madeen,0,0
430.91666666666674,Blizzard in Cyan,1,2.3
