time,action,isGCD,castTime
-5.0,赤暴雷,1,4.975
0.08749999999999858,赤暴雷,1,0
0.6374999999999993,魔元化,0,0
1.1875,鼓励,0,0
2.568749999999998,魔回刺,1,0
3.1187499999999986,六分反击,0,0
4.074999999999999,魔交击斩,1,0
4.625,飞刺,0,0
5.581249999999997,魔连攻,1,0
6.131249999999994,促进,0,0
6.6812499999999915,短兵相接,0,0
7.787499999999991,赤神圣,1,0
8.337499999999991,交剑,0,0
8.887499999999992,光芒四射,0,0
10.268749999999997,焦热,1,0
10.818749999999998,荆棘环绕,0,0
11.368749999999999,短兵相接,0,0
12.749999999999986,决断,1,0
13.29999999999999,交剑,0,0
13.849999999999987,醒梦,0,0
15.231249999999996,显贵冲击,1,0
17.7125,赤暴风,1,0
20.193749999999994,赤飞石,1,1.99
22.674999999999997,赤暴风,1,0
25.156249999999993,赤火炎,1,1.99
27.63749999999999,赤暴雷,1,0
29.62499999999998,飞刺,0,0
30.174999999999976,赤火炎,1,1.99
32.656249999999986,赤暴雷,1,0
33.20624999999998,促进,0,0
35.13749999999999,显贵冲击,1,0
37.618749999999984,赤暴风,1,0
38.16874999999999,六分反击,0,0
40.09999999999999,赤飞石,1,1.99
42.58124999999999,赤暴风,1,0
43.131249999999994,Sprint,0,0
45.062499999999986,赤火炎,1,1.99
47.543749999999974,赤暴雷,1,0
48.09374999999997,即刻咏唱,0,0
50.02499999999996,赤暴雷,1,0
52.50624999999995,赤飞石,1,1.99
54.987499999999955,赤暴风,1,0
55.53749999999995,飞刺,0,0
56.08749999999995,昏乱,0,0
57.46874999999994,赤火炎,1,1.99
59.94999999999993,赤暴雷,1,0
60.49999999999993,抗死,0,0
62.43124999999992,赤火炎,1,1.99
64.91249999999992,赤暴风,1,0
65.46249999999992,短兵相接,0,0
66.26249999999992,交剑,0,0
67.39374999999991,赤飞石,1,1.99
69.87499999999991,赤暴风,1,0
72.35624999999992,魔回刺,1,0
73.1687499999999,六分反击,0,0
73.8624999999999,魔交击斩,1,0
75.3687499999999,魔连攻,1,0
75.9187499999999,醒梦,0,0
77.57499999999989,赤核爆,1,0
80.05624999999988,焦热,1,0
80.60624999999987,飞刺,0,0
82.53749999999987,决断,1,0
85.01874999999986,赤火炎,1,1.99
87.49999999999986,赤暴风,1,0
88.04999999999986,短兵相接,0,0
88.84999999999987,交剑,0,0
89.98124999999986,赤飞石,1,1.99
92.46249999999985,赤暴雷,1,0
94.94374999999984,赤火炎,1,1.99
97.42499999999983,赤暴风,1,0
99.90624999999982,赤飞石,1,1.99
102.38749999999982,赤暴风,1,0
102.93749999999982,促进,0,0
104.8687499999998,显贵冲击,1,0
105.6062499999998,飞刺,0,0
106.1562499999998,即刻咏唱,0,0
107.34999999999982,赤暴雷,1,0
108.16874999999987,六分反击,0,0
108.71874999999989,Sprint,0,0
109.83124999999987,赤暴风,1,0
110.63749999999999,魔元化,0,0
112.31249999999991,赤火炎,1,1.99
114.79374999999993,赤暴雷,1,0
117.27499999999995,魔回刺,1,0
118.78124999999997,魔交击斩,1,0
120.28749999999994,魔连攻,1,0
121.18750000000011,鼓励,0,0
122.49374999999995,赤神圣,1,0
124.97499999999991,焦热,1,0
126.52499999999986,爆发药,0,0
127.45624999999987,决断,1,0
128.00624999999988,荆棘环绕,0,0
128.5562499999999,光芒四射,0,0
129.93749999999991,魔回刺,1,0
130.60624999999987,飞刺,0,0
131.44374999999988,魔交击斩,1,0
131.99374999999986,短兵相接,0,0
132.94999999999987,魔连攻,1,0
133.49999999999986,交剑,0,0
135.15624999999983,赤核爆,1,0
137.63749999999985,焦热,1,0
140.11874999999986,决断,1,0
142.59999999999988,魔回刺,1,0
143.16874999999987,六分反击,0,0
144.1062499999999,魔交击斩,1,0
144.65624999999991,醒梦,0,0
145.61249999999993,魔连攻,1,0
146.1624999999999,即刻咏唱,0,0
147.81874999999988,赤神圣,1,0
148.36874999999986,短兵相接,0,0
149.16874999999985,交剑,0,0
150.29999999999984,焦热,1,0
152.78124999999983,决断,1,0
155.26249999999985,赤暴雷,1,0
155.81249999999983,飞刺,0,0
157.74374999999984,赤火炎,1,1.99
160.22499999999985,赤暴雷,1,0
162.70624999999984,赤飞石,1,1.99
165.18749999999983,赤暴风,1,0
165.73749999999984,促进,0,0
167.66874999999982,显贵冲击,1,0
168.71874999999986,Sprint,0,0
170.14999999999986,激荡,1,1.99
172.63124999999988,赤暴风,1,0
179.761,赤暴雷,1,0
180.311,六分反击,0,0
180.86100000000002,飞刺,0,0
182.24225,赤飞石,1,1.99
184.7235,赤暴风,1,0
187.20475000000002,激荡,1,1.99
189.68600000000004,赤暴雷,1,0
