time,action,isGCD,castTime
-1.6999999999999993,Harpe,1,1.3
0.8062500000000021,Soul Slice,1,0
3.3125,Shadow of Death,1,0
3.962500000000002,Arcane Circle,0,0
4.612500000000001,Gluttony,0,0
5.818750000000001,Executioner's Gibbet,1,0
8.325000000000003,Executioner's Gallows,1,0
10.83125,Plentiful Harvest,1,0
13.337499999999999,Enshroud,0,0
13.887499999999996,Sacrificium,0,0
14.4375,Void Reaping,1,0
15.943750000000001,Cross Reaping,1,0
16.49375,Lemure's Slice,0,0
17.450000000000003,Void Reaping,1,0
18.956250000000004,Cross Reaping,1,0
19.50625000000001,Lemure's Slice,0,0
20.462500000000013,Communio,1,1.3
22.968750000000007,Perfectio,1,0
25.475000000000016,Soul Slice,1,0
26.025000000000013,Unveiled Gibbet,0,0
27.98125000000001,Gibbet,1,0
30.487500000000004,Slice,1,0
32.993750000000006,Shadow of Death,1,0
35.50000000000001,Soul Slice,1,0
36.050000000000004,Unveiled Gallows,0,0
38.00625,Gallows,1,0
40.51250000000001,Waxing Slice,1,0
43.01875000000001,Infernal Slice,1,0
45.525000000000006,Slice,1,0
46.075,Unveiled Gibbet,0,0
48.031250000000014,Gibbet,1,0
50.53750000000001,Waxing Slice,1,0
53.04375,Infernal Slice,1,0
55.55000000000001,Slice,1,0
58.056250000000006,Waxing Slice,1,0
60.5625,Infernal Slice,1,0
63.068749999999994,Shadow of Death,1,0
64.6125,Gluttony,0,0
65.57499999999999,Executioner's Gallows,1,0
68.08124999999998,Executioner's Gibbet,1,0
70.58749999999998,Soul Slice,1,0
71.13749999999997,Unveiled Gallows,0,0
73.09374999999997,Gallows,1,0
75.59999999999997,Slice,1,0
78.10624999999999,Waxing Slice,1,0
80.6125,Infernal Slice,1,0
83.11875,Slice,1,0
85.62500000000001,Waxing Slice,1,0
88.13125000000001,Infernal Slice,1,0
88.68125000000002,Unveiled Gibbet,0,0
90.63750000000003,Gibbet,1,0
93.14375000000003,Shadow of Death,1,0
95.65000000000003,Soul Slice,1,0
96.20000000000003,Unveiled Gallows,0,0
98.15625000000001,Gallows,1,0
100.66250000000001,Slice,1,0
103.16875,Waxing Slice,1,0
105.67500000000001,Infernal Slice,1,0
108.18125000000003,Harvest Moon,1,0
108.73125000000005,Enshroud,0,0
110.68750000000006,Void Reaping,1,0
112.19375000000005,Cross Reaping,1,0
112.74375000000006,Lemure's Slice,0,0
113.70000000000007,Void Reaping,1,0
115.20625000000007,Shadow of Death,1,0
115.85625000000005,Tincture,0,0
116.50625000000005,Sacrificium,0,0
117.71250000000006,Cross Reaping,1,0
118.2625000000001,Lemure's Slice,0,0
119.21875000000011,Communio,1,1.3
121.72500000000014,Soul Slice,1,0
122.27500000000015,Enshroud,0,0
124.23125000000016,Void Reaping,1,0
124.78125000000017,Arcane Circle,0,0
125.73750000000015,Cross Reaping,1,0
126.28750000000016,Lemure's Slice,0,0
127.2437500000002,Void Reaping,1,0
127.79375000000022,Sacrificium,0,0
128.75000000000023,Cross Reaping,1,0
129.30000000000024,Lemure's Slice,0,0
130.25625000000025,Communio,1,1.3
132.76250000000027,Plentiful Harvest,1,0
133.31250000000026,Enshroud,0,0
133.86250000000027,Sacrificium,0,0
135.2687500000003,Void Reaping,1,0
