time,action,isGCD,castTime
-20,Sprint,0,0
-12,Meikyo Shisui,0,0
-2,Tengentsu,0,0
-1.4499999999999993,True North,0,0
0.5,Gekko,1,0
1.0500000000000007,Pop Tengentsu,0,0
1.0600000000000023,Ikishoten,0,0
2.5062510000000024,Higanbana,1,1.3
3.918751000000004,Tincture,0,0
5.012501000000004,Kasha,1,0
5.562501000000005,Hissatsu: Senei,0,0
7.518751000000005,Gekko,1,0
8.068751000000006,Zanshin,0,0
9.693751000000006,Gyofu,1,0
11.868751000000003,Yukikaze,1,0
12.418751,Hissatsu: Shinten,0,0
14.043751,Tendo Setsugekka,1,1.3
16.218750999999983,Ogi Namikiri,1,1.3
17.631250999999985,Shoha,0,0
18.393750999999988,Kaeshi: Namikiri,1,0
20.568750999999985,Tendo Kaeshi Setsugekka,1,0
22.74375099999999,Gyofu,1,0
24.918750999999993,Yukikaze,1,0
25.468750999999983,Meikyo Shisui,0,0
27.093750999999983,Kasha,1,0
29.26875099999998,Gekko,1,0
29.818750999999978,Hissatsu: Shinten,0,0
31.443750999999985,Tendo Setsugekka,1,1.3
33.61875099999998,Tendo Kaeshi Setsugekka,1,0
34.16875099999998,Hissatsu: Shinten,0,0
35.79375099999998,Kasha,1,0
36.64375099999998,Tengentsu,0,0
37.96875099999998,Gyofu,1,0
38.51875099999998,Pop Tengentsu,0,0
40.14375099999997,Yukikaze,1,0
42.31875099999998,Gyofu,1,0
42.868750999999975,Sprint,0,0
44.493750999999975,Jinpu,1,0
45.04375099999997,Hissatsu: Yaten,0,0
45.84375099999997,Hissatsu: Gyoten,0,0
46.66875099999997,Gekko,1,0
48.84375099999997,Gyofu,1,0
51.018750999999966,Midare Setsugekka,1,1.3
53.19375099999996,Kaeshi: Setsugekka,1,0
55.36875099999996,Yukikaze,1,0
55.91875099999997,Hissatsu: Shinten,0,0
57.54375099999996,Gyofu,1,0
59.718750999999955,Higanbana,1,1.3
61.13125099999995,Tengentsu,0,0
61.89375099999994,Yukikaze,1,0
62.443750999999935,Shoha,0,0
62.99375099999993,Hissatsu: Shinten,0,0
63.54375099999993,Pop Tengentsu,0,0
64.06875099999993,Gyofu,1,0
65.56250099999998,Hissatsu: Senei,0,0
66.24375099999995,Shifu,1,0
68.41875099999996,Kasha,1,0
68.96875099999995,Meikyo Shisui,0,0
70.59375099999995,Gekko,1,0
71.14375099999997,Hissatsu: Shinten,0,0
72.76875099999995,Tendo Setsugekka,1,1.3
74.94375099999995,Kasha,1,0
77.11875099999993,Gekko,1,0
79.29375099999993,Gyofu,1,0
81.46875099999991,Yukikaze,1,0
83.64375099999992,Gyofu,1,0
85.19375099999986,Tengentsu,0,0
85.81875099999986,Tendo Kaeshi Setsugekka,1,0
87.16875099999983,Pop Tengentsu,0,0
87.17875099999983,Hissatsu: Gyoten,0,0
87.99375099999985,Midare Setsugekka,1,1.3
90.16875099999984,Yukikaze,1,0
92.34375099999984,Gyofu,1,0
94.51875099999982,Shifu,1,0
95.06875099999982,Hissatsu: Shinten,0,0
96.6937509999998,Kasha,1,0
