time,action,isGCD,castTime
-5,Fire 3,1,3.44
-1.4503311258278146,High Thunder,1,0
-0.8503311258278146,Amplifier,0,0
-0.2503311258278149,Ley Lines,0,0
1,Fire 4,1,1.671
3.0860927152317874,Fire 4,1,1.671
5.172185430463575,Fire 4,1,1.671
7.258278145695364,Fire 4,1,1.671
9.344370860927153,Despair,1,0
9.944370860927153,Manafont,0,0
11.430463576158942,Fire 4,1,1.671
13.516556291390728,Fire 4,1,1.671
15.602649006622514,Flare Star,1,1.671
17.6887417218543,Fire 4,1,1.671
19.774834437086085,Fire 4,1,1.671
21.860927152317878,Fire 4,1,1.966
24.311258278145694,Paradox,1,0
24.91125827814569,Swiftcast,0,0
25.511258278145693,Triplecast,0,0
26.76158940397351,Fire 4,1,0
29.211920529801326,High Thunder,1,0
31.662251655629134,Flare,1,0
34.11258278145695,Flare Star,1,0
34.71258278145695,Transpose,0,0
36.562913907284766,Blizzard 3,1,0
39.01324503311258,Blizzard 4,1,1.966
41.463576158940405,Paradox,1,0
42.06357615894041,Transpose,0,0
43.91390728476822,Fire 3,1,0
46.36423841059604,Fire 4,1,1.966
48.81456953642386,Fire 4,1,1.966
51.26490066225168,Fire 4,1,1.966
53.71523178807949,Paradox,1,0
56.16556291390731,Fire 4,1,1.966
58.61589403973511,High Thunder,1,0
59.215894039735105,Triplecast,0,0
61.06622516556291,Fire 4,1,0
63.516556291390714,Fire 4,1,0
65.96688741721852,Flare Star,1,0
66.56688741721851,Swiftcast,0,0
68.41721854304633,Despair,1,0
69.21721854304633,Transpose,0,0
69.81721854304632,Ley Lines,0,0
70.86754966887413,Blizzard 3,1,0
72.95364238410593,Blizzard 4,1,1.671
75.03973509933773,Xenoglossy,1,0
77.12582781456953,Paradox,1,0
77.72582781456953,Transpose,0,0
79.2119205298013,Fire 3,1,0
81.29801324503309,Fire 4,1,1.671
83.38410596026486,Fire 4,1,1.671
85.47019867549665,Fire 4,1,1.671
87.55629139072845,Paradox,1,0
90.31500000000001,Fire 4,1,1.966
92.76533112582784,Fire 4,1,1.966
95.21566225165567,Fire 4,1,1.966
97.6659933774835,Flare Star,1,1.966
100.11632450331129,Xenoglossy,1,0
102.5666556291391,Xenoglossy,1,0
105.01698675496691,Despair,1,0
105.6169867549669,Transpose,0,0
107.46731788079471,Umbral Soul,1,0
109.91764900662253,Umbral Soul,1,0
112.36798013245036,Umbral Soul,1,0
114.81831125827817,Umbral Soul,1,0
115.41831125827817,Transpose,0,0
117.26864238410599,Fire 3,1,0
117.868642384106,Swiftcast,0,0
119.71897350993382,Fire 4,1,0
120.51897350993382,Amplifier,0,0
121.21897350993386,Ley Lines,0,0
122.16930463576168,Fire 4,1,1.671
124.25539735099343,Fire 4,1,1.671
126.34149006622522,Xenoglossy,1,0
128.427582781457,High Thunder,1,0
130.5136754966888,Fire 4,1,1.671
132.5997682119206,Fire 4,1,1.671
134.68586092715236,Fire 4,1,1.671
136.77195364238412,Despair,1,0
137.37195364238414,Manafont,0,0
138.8580463576159,Flare Star,1,1.671
140.94413907284766,Fire 4,1,1.671
143.0302317880795,Fire 4,1,1.966
145.48056291390728,Fire 4,1,1.966
147.93089403973508,Fire 4,1,1.966
150.38122516556288,Fire 4,1,1.966
152.83155629139065,Fire 4,1,1.966
155.28188741721846,Flare Star,1,1.966
157.73221854304626,Xenoglossy,1,0
160.1825496688741,Despair,1,0
160.7825496688741,Transpose,0,0
162.63288079470192,Umbral Soul,1,0
165.08321192052972,Umbral Soul,1,0
167.53354304635752,Umbral Soul,1,0
169.98387417218532,Umbral Soul,1,0
172.43420529801313,Umbral Soul,1,0
173.03420529801312,Transpose,0,0
177.28800000000004,High Thunder,1,0
178.03420529801318,Transpose,0,0
178.63420529801317,Triplecast,0,0
179.73833112582787,High Thunder,1,0
