time,action,isGCD,castTime
-12.5,Meikyo Shisui,0,0
-11.95,True North,0,0
-9.999999999999998,Tincture,0,0
-2,True North,0,0
0,Kasha,1,0
0.620000000000001,Ikishoten,0,0
2.4750000000000014,Higanbana,1,1.3
4.618749999999999,Gekko,1,0
5.668749999999999,Hissatsu: Senei,0,0
6.762499999999999,Kasha,1,0
7.3125,Zanshin,0,0
7.862500000000001,Tengentsu,0,0
8.90625,Gyofu,1,0
9.45625,Pop Tengentsu,0,0
11.050000000000004,Yukikaze,1,0
11.600000000000001,Hissatsu: Shinten,0,0
13.193750000000009,Tendo Setsugekka,1,1.3
15.337500000000006,Tendo Kaeshi Setsugekka,1,0
17.48125000000001,Ogi Namikiri,1,1.3
18.893750000000004,Shoha,0,0
19.625,Kaeshi: Namikiri,1,0
20.175000000000004,Hissatsu: Gyoten,0,0
21.76875000000001,Gyofu,1,0
22.86250000000001,Tengentsu,0,0
23.9125,Yukikaze,1,0
24.4625,Meikyo Shisui,0,0
25.012499999999996,Pop Tengentsu,0,0
26.05625,Kasha,1,0
28.200000000000003,Gekko,1,0
28.75,Hissatsu: Shinten,0,0
30.343750000000007,Tendo Setsugekka,1,1.3
31.75625,Hissatsu: Shinten,0,0
32.4875,Tendo Kaeshi Setsugekka,1,0
34.63125,Gekko,1,0
36.775,Gyofu,1,0
38.918749999999996,Yukikaze,1,0
41.06249999999999,Gyofu,1,0
43.20624999999998,Shifu,1,0
44.75624999999998,Tengentsu,0,0
45.349999999999994,Kasha,1,0
45.89999999999999,Pop Tengentsu,0,0
47.49374999999999,Midare Setsugekka,1,1.3
49.6375,Gyofu,1,0
50.1875,Hissatsu: Shinten,0,0
51.781249999999986,Yukikaze,1,0
52.33124999999998,Hissatsu: Shinten,0,0
53.92499999999997,Kaeshi: Setsugekka,1,0
56.06874999999995,Gyofu,1,0
58.21249999999995,Shifu,1,0
60.356249999999946,Higanbana,1,1.3
61.76874999999994,Shoha,0,0
62.49999999999994,Kasha,1,0
64.64374999999993,Gyofu,1,0
65.66874999999993,Hissatsu: Senei,0,0
66.78749999999994,Yukikaze,1,0
68.93124999999993,Gyofu,1,0
71.07499999999992,Jinpu,1,0
73.2187499999999,Gekko,1,0
75.3624999999999,Midare Setsugekka,1,1.3
77.50624999999991,Gyofu,1,0
79.6499999999999,Yukikaze,1,0
80.1999999999999,Meikyo Shisui,0,0
80.7499999999999,True North,0,0
81.7937499999999,Kasha,1,0
82.3437499999999,Hissatsu: Shinten,0,0
83.93749999999989,Gekko,1,0
86.08124999999987,Kaeshi: Setsugekka,1,0
86.63124999999988,Tengentsu,0,0
87.18124999999988,Pop Tengentsu,0,0
88.22499999999988,Tendo Setsugekka,1,1.3
89.63749999999987,Hissatsu: Shinten,0,0
90.36874999999986,Gekko,1,0
90.91874999999985,Hissatsu: Shinten,0,0
92.51249999999983,Gyofu,1,0
94.65624999999983,Yukikaze,1,0
96.79999999999983,Gyofu,1,0
98.94374999999981,Shifu,1,0
101.08749999999979,Kasha,1,0
103.23124999999979,Tendo Kaeshi Setsugekka,1,0
103.78124999999979,Tengentsu,0,0
104.33124999999978,Pop Tengentsu,0,0
105.37499999999979,Midare Setsugekka,1,1.3
