time,action,isGCD,castTime
-12,明镜止水,0,0
0,花车,1,0
0.62,意气冲天,0,0
2.475,彼岸花,1,1.3
4.61875,月光,1,0
6.10875,爆发药,0,0
6.7625,花车,1,0
7.3125,必杀剑·闪影,0,0
7.8625,牵制,0,0
8.90625,晓风,1,0
9.45625,残心,0,0
11.05,雪风,1,0
13.19375,天道雪月花,1,1.3
14.60625,天眼通,0,0
15.3375,奥义斩浪,1,1.3
17.48125,回返斩浪,1,0
18.03125,照破,0,0
18.58125,天眼通生效,0,0
19.625,天道回返雪月花,1,0
20.175,必杀剑·震天,0,0
20.725,必杀剑·晓天,0,0
21.76875,晓风,1,0
23.9125,雪风,1,0
24.4625,明镜止水,0,0
26.05625,花车,1,0
26.60625,必杀剑·震天,0,0
28.2,月光,1,0
30.34375,天道雪月花,1,1.3
32.4875,天道回返雪月花,1,0
34.63125,花车,1,0
35.18125,必杀剑·震天,0,0
36.775,晓风,1,0
37.325,天眼通,0,0
38.91875,雪风,1,0
39.46875,天眼通生效,0,0
41.0625,晓风,1,0
43.20625,阵风,1,0
45.35,月光,1,0
45.9,必杀剑·震天,0,0
47.49375,纷乱雪月花,1,1.3
48.90625,必杀剑·震天,0,0
49.6375,晓风,1,0
51.78125,雪风,1,0
53.925,晓风,1,0
56.06875,士风,1,0
58.2125,回返雪月花,1,0
60.35625,彼岸花,1,1.3
62.5,花车,1,0
63.05,照破,0,0
64.64375,晓风,1,0
65.19375,必杀剑·震天,0,0
66.7875,雪风,1,0
67.3375,明镜止水,0,0
67.8875,必杀剑·闪影,0,0
68.93125,月光,1,0
71.075,天道雪月花,1,1.3
73.21875,花车,1,0
75.3625,月光,1,0
77.50625,晓风,1,0
78.05625,必杀剑·震天,0,0
79.65,雪风,1,0
81.79375,天道回返雪月花,1,0
83.9375,纷乱雪月花,1,1.3
86.08125,晓风,1,0
86.63125,天眼通,0,0
88.225,雪风,1,0
88.775,天眼通生效,0,0
90.36875,晓风,1,0
92.5125,士风,1,0
93.0625,必杀剑·震天,0,0
94.65625,花车,1,0
95.20625,必杀剑·震天,0,0
96.8,晓风,1,0
98.94375,阵风,1,0
101.0875,月光,1,0
103.23125,回返雪月花,1,0
103.78125,必杀剑·震天,0,0
105.375,晓风,1,0
105.925,天眼通,0,0
106.475,天眼通生效,0,0
107.51875,纷乱雪月花,1,1.3
108.93125,照破,0,0
109.6625,雪风,1,0
111.80625,晓风,1,0
112.35625,必杀剑·震天,0,0
113.95,士风,1,0
116.09375,回返雪月花,1,0
118.2375,彼岸花,1,1.3
120.38125,花车,1,0
120.93125,必杀剑·震天,0,0
121.48125,意气冲天,0,0
122.525,晓风,1,0
123.075,必杀剑·震天,0,0
124.66875,雪风,1,0
125.21875,明镜止水,0,0
126.8125,月光,1,0
127.3625,残心,0,0
127.9125,必杀剑·闪影,0,0
128.95625,天道雪月花,1,1.3
131.1,月光,1,0
133.24375,天道回返雪月花,1,0
135.3875,花车,1,0
135.9375,必杀剑·震天,0,0
137.53125,奥义斩浪,1,1.3
139.675,回返斩浪,1,0
140.225,照破,0,0
141.81875,晓风,1,0
143.9625,雪风,1,0
144.5125,必杀剑·震天,0,0
146.10625,纷乱雪月花,1,1.3
148.25,晓风,1,0
150.39375,雪风,1,0
150.94375,天眼通,0,0
151.49375,天眼通生效,0,0
152.5375,晓风,1,0
154.68125,士风,1,0
156.825,花车,1,0
158.96875,晓风,1,0
159.51875,必杀剑·震天,0,0
161.1125,阵风,1,0
163.25625,月光,1,0
165.4,回返雪月花,1,0
165.95,天眼通,0,0
166.5,天眼通生效,0,0
167.54375,纷乱雪月花,1,1.3
169.6875,晓风,1,0
171.83125,雪风,1,0
172.38125,必杀剑·震天,0,0
173.975,晓风,1,0
176.11875,回返雪月花,1,0
178.2625,彼岸花,1,1.3
179.675,照破,0,0
180.40625,雪风,1,0
180.95625,明镜止水,0,0
181.50625,必杀剑·震天,0,0
182.55,花车,1,0
184.69375,月光,1,0
185.24375,必杀剑·震天,0,0
185.79375,天眼通,0,0
186.8375,天道雪月花,1,1.3
188.25,天眼通生效,0,0
188.98125,天道回返雪月花,1,0
189.53125,必杀剑·闪影,0,0
191.125,花车,1,0
191.675,必杀剑·震天,0,0
193.26875,晓风,1,0
195.4125,雪风,1,0
195.9625,必杀剑·震天,0,0
197.55625,晓风,1,0
199.7,阵风,1,0
201.84375,月光,1,0
202.39375,必杀剑·震天,0,0
203.9875,纷乱雪月花,1,1.3
206.13125,晓风,1,0
208.275,回返雪月花,1,0
208.825,天眼通,0,0
212.375,天眼通生效,0,0
212.385,默想,1,0
221.343,雪风,1,0
223.48675,晓风,1,0
224.03675,照破,0,0
225.6305,士风,1,0
227.77425,花车,1,0
228.32425,天眼通,0,0
229.918,晓风,1,0
230.468,天眼通生效,0,0
230.478,必杀剑·震天,0,0
232.06175,阵风,1,0
234.2055,月光,1,0
234.7555,牵制,0,0
236.34925,纷乱雪月花,1,1.3
238.493,晓风,1,0
239.043,必杀剑·震天,0,0
240.63675,雪风,1,0
241.18675,必杀剑·震天,0,0
241.73675,意气冲天,0,0
242.7805,彼岸花,1,1.3
244.92425,晓风,1,0
