time,action,isGCD,castTime
-12,Meikyo Shisui,0,0
0,Gekko,1,0
0.9800000000000004,Ikishoten,0,0
1.6479999999999997,Tincture,0,0
2.4750000000000014,Higanbana,1,1.3
4.950000000000006,Kasha,1,0
5.563750000000006,Hissatsu: Senei,0,0
7.425000000000001,Gekko,1,0
8.077500000000008,Tengentsu,0,0
9.568750000000005,Gyofu,1,0
10.118750000000006,Pop Tengentsu,0,0
10.128750000000007,Zanshin,0,0
11.712500000000006,Yukikaze,1,0
12.26250000000001,Hissatsu: Gyoten,0,0
13.85625000000001,Tendo Setsugekka,1,1.3
15.268750000000004,Meikyo Shisui,0,0
16,Gekko,1,0
16.550000000000004,Hissatsu: Shinten,0,0
18.143750000000004,Yukikaze,1,0
18.69375,Hissatsu: Shinten,0,0
20.28750000000001,Kasha,1,0
20.837500000000006,Hissatsu: Gyoten,0,0
22.431250000000006,Tendo Kaeshi Setsugekka,1,0
24.575000000000003,Tendo Setsugekka,1,1.3
25.987500000000004,Shoha,0,0
26.71875,Tendo Kaeshi Setsugekka,1,0
27.268749999999997,Tengentsu,0,0
27.818749999999994,Pop Tengentsu,0,0
28.862499999999997,Ogi Namikiri,1,1.3
31.006249999999994,Kaeshi: Namikiri,1,0
33.15,Gyofu,1,0
35.29375000000001,Yukikaze,1,0
37.43750000000001,Gyofu,1,0
37.987500000000004,Hissatsu: Shinten,0,0
39.581250000000004,Jinpu,1,0
41.725000000000016,Gekko,1,0
42.27500000000001,Tengentsu,0,0
43.000000000000014,Meikyo Shisui,0,0
43.55000000000001,Pop Tengentsu,0,0
43.86875000000002,Kasha,1,0
44.41875000000002,True North,0,0
46.0125,Tendo Setsugekka,1,1.3
47.425,Hissatsu: Shinten,0,0
48.156249999999986,Gekko,1,0
50.29999999999998,Kasha,1,0
52.443749999999966,Tendo Kaeshi Setsugekka,1,0
54.58749999999996,Gyofu,1,0
56.731249999999974,Yukikaze,1,0
57.28124999999997,Tengentsu,0,0
57.83124999999997,Pop Tengentsu,0,0
58.87499999999997,Midare Setsugekka,1,1.3
60.28749999999998,Hissatsu: Shinten,0,0
61.01874999999997,Gyofu,1,0
61.568749999999966,Shoha,0,0
63.16249999999998,Yukikaze,1,0
65.30625,Gyofu,1,0
67.45000000000002,Higanbana,1,1.3
68.86250000000001,Hissatsu: Senei,0,0
69.59375000000001,Shifu,1,0
70.14375000000001,Hissatsu: Shinten,0,0
71.7375,Kasha,1,0
73.88125,Gyofu,1,0
76.02499999999999,Jinpu,1,0
