time,action,isGCD,castTime
-5,Fire 3,1,3.44
-1.450331126,High Thunder,1,0
-0.750331126,Amplifier,0,0
-0.050331126,Ley Lines,0,0
1,Fire 4,1,1.671
3.086092715,Fire 4,1,1.671
5.17218543,Fire 4,1,1.671
7.258278146,Fire 4,1,1.671
9.344370861,Despair,1,0
10.04437086,Manafont,0,0
11.43046358,Fire 4,1,1.671
13.51655629,Fire 4,1,1.671
15.60264901,Flare Star,1,1.671
17.68874172,Fire 4,1,1.671
19.77483444,Fire 4,1,1.671
21.86092715,Fire 4,1,1.966
24.31125828,Paradox,1,0
25.01125828,Swiftcast,0,0
25.71125828,Triplecast,0,0
26.7615894,Fire 4,1,0
29.21192053,High Thunder,1,0
31.66225166,Flare,1,0
34.11258278,Flare Star,1,0
34.81258278,Transpose,0,0
36.56291391,Blizzard 3,1,0
39.01324503,Blizzard 4,1,1.966
41.46357616,Paradox,1,0
42.16357616,Transpose,0,0
43.91390728,Fire 3,1,0
46.36423841,Fire 4,1,1.966
48.81456954,Fire 4,1,1.966
51.26490066,Fire 4,1,1.966
53.71523179,Paradox,1,0
56.16556291,Fire 4,1,1.966
58.61589404,High Thunder,1,0
59.31589404,Triplecast,0,0
61.06622517,Fire 4,1,0
63.51655629,Fire 4,1,0
65.96688742,Flare Star,1,0
66.66688742,Swiftcast,0,0
68.41721854,Despair,1,0
69.11721854,Transpose,0,0
69.81721854,Ley Lines,0,0
70.86754967,Blizzard 3,1,0
72.95364238,Blizzard 4,1,1.671
75.0397351,Xenoglossy,1,0
77.12582781,Paradox,1,0
77.82582781,Transpose,0,0
79.21192053,Fire 3,1,0
81.29801325,Fire 4,1,1.671
83.38410596,Fire 4,1,1.671
85.47019868,Fire 4,1,1.671
87.55629139,Paradox,1,0
90.315,Fire 4,1,1.966
92.76533113,Fire 4,1,1.966
95.21566225,Fire 4,1,1.966
97.66599338,Flare Star,1,1.966
100.1163245,Xenoglossy,1,0
102.5666556,Xenoglossy,1,0
105.0333223,Despair,1,0
105.7333223,Transpose,0,0
107.4836534,Umbral Soul,1,0
109.9339845,Umbral Soul,1,0
112.3843157,Umbral Soul,1,0
114.8346468,Umbral Soul,1,0
115.5346468,Transpose,0,0
117.2849779,Fire 3,1,0
117.9849779,Swiftcast,0,0
119.7353091,Fire 4,1,0
120.4353091,Amplifier,0,0
121.2353091,Ley Lines,0,0
122.1856402,Fire 4,1,1.671
124.2717329,Fire 4,1,1.671
126.3578256,Xenoglossy,1,0
128.4439183,High Thunder,1,0
130.530011,Fire 4,1,1.671
132.6161038,Fire 4,1,1.671
134.7021965,Fire 4,1,1.671
136.7882892,Despair,1,0
137.4882892,Manafont,0,0
138.8743819,Flare Star,1,1.671
140.9604746,Fire 4,1,1.671
143.0465673,Fire 4,1,1.966
145.4968985,Fire 4,1,1.966
147.9472296,Fire 4,1,1.966
150.3975607,Fire 4,1,1.966
152.8478918,Fire 4,1,1.966
155.298223,Flare Star,1,1.966
157.7485541,Xenoglossy,1,0
160.1988852,Despair,1,0
160.8988852,Transpose,0,0
162.6492163,Umbral Soul,1,0
165.0995475,Umbral Soul,1,0
167.5498786,Umbral Soul,1,0
170.0002097,Umbral Soul,1,0
172.4505408,Umbral Soul,1,0
173.1505408,Transpose,0,0
177.288,Flare,1,1.966
179.7383311,Flare,1,1.966
182.1886623,Flare Star,1,1.966
184.6389934,Foul,1,0
185.3389934,Swiftcast,0,0
187.0893245,High Thunder,1,0
187.7893245,Transpose,0,0
189.5396556,High Thunder,1,0
191.9899868,Blizzard 3,1,0
194.4403179,Blizzard 4,1,1.966
196.890649,Paradox,1,0
197.590649,Transpose,0,0
199.3409801,Paradox,1,0
201.7913113,Fire 3,1,0
202.4913113,Triplecast,0,0
204.2416424,Fire 4,1,0
206.6919735,Fire 4,1,0
209.1423046,Fire 4,1,0
211.5926358,Fire 4,1,1.966
214.0429669,Fire 4,1,1.966
216.493298,Fire 4,1,1.966
218.9436291,Despair,1,0
219.6436291,Tincture,0,0
221.3939603,Flare Star,1,1.966
223.8442914,Foul,1,0
224.5442914,Transpose,0,0
226.2946225,Blizzard 4,1,1.966
228.7449536,Foul,1,0
229.5442914,Transpose,0,0
231.1952848,Flare,1,1.966
233.6456159,Flare,1,1.966
236.095947,Flare Star,1,1.966
238.5462781,High Thunder,1,0
239.2462781,Manafont,0,0
240.9966093,High Thunder,1,0
241.6966093,Amplifier,0,0
243.4469404,Fire 4,1,1.966
245.8972715,Fire 4,1,1.966
248.3476026,Foul,1,0
249.0476026,Triplecast,0,0
250.7979338,Fire 4,1,0
253.2482649,Fire 4,1,0
255.698596,Fire 4,1,0
258.1489272,Paradox,1,0
260.5992583,Fire 4,1,1.966
263.0495894,Despair,1,0
265.4999205,Flare Star,1,1.966
267.9502517,Foul,1,0
268.6502517,Transpose,0,0
270.4005828,High Thunder,1,0
272.8509139,Foul,1,0
275.301245,Blizzard 4,1,1.966
277.7515762,Paradox,1,0
278.4515762,Transpose,0,0
280.2019073,High Thunder,1,0
282.6522384,Flare,1,1.966
285.1025695,Flare,1,1.966
287.5529007,Flare Star,1,1.966
290.0032318,Foul,1,0
290.7032318,Transpose,0,0
292.4535629,Paradox,1,0
294.903894,Blizzard 4,1,1.966
297.3542252,High Thunder,1,0
298.0542252,Transpose,0,0
299.8045563,Fire 3,1,0
300.5045563,Surecast,0,0
302.2548874,High Thunder,1,0
302.9548874,Swiftcast,0,0
303.6548874,Ley Lines,0,0
304.7052185,Flare,1,0
305.6552185,Lucid Dreaming,0,0
306.7913113,Flare,1,1.671
308.877404,Flare Star,1,1.671
310.9634967,Foul,1,0
311.6634967,Transpose,0,0
313.0495894,Blizzard 4,1,1.671
315.1356821,Paradox,1,0
315.8356821,Triplecast,0,0
316.6634967,Transpose,0,0
317.3634967,Flare,1,0
319.4495894,Flare,1,0
321.5356821,Flare Star,1,0
322.2356821,Transpose,0,0
323.6217748,Blizzard 4,1,1.671
325.7078675,Paradox,1,0
326.4078675,Triplecast,0,0
327.2356821,Transpose,0,0
328.1581987,Flare,1,0
330.6085298,Flare,1,0
333.0588609,Flare Star,1,0
335.5091921,Foul,1,0
336.2091921,Transpose,0,0
337.9595232,Paradox,1,0
340.4098543,High Thunder,1,0
341.2091921,Transpose,0,0
341.9091921,Manafont,0,0
342.8601854,Fire 4,1,1.966
345.3105166,Fire 4,1,1.966
347.7608477,Fire 4,1,1.966
350.2111788,Fire 4,1,1.966
352.6615099,Paradox,1,0
355.1118411,Fire 4,1,1.966
357.5621722,Fire 4,1,1.966
360.0125033,Flare Star,1,1.966
362.4628344,Despair,1,0
363.1628344,Swiftcast,0,0
363.8628344,Transpose,0,0
364.9131656,Blizzard 3,1,0
365.6131656,Amplifier,0,0
367.3634967,High Thunder,1,0
369.8138278,Blizzard 4,1,1.966
372.2641589,Paradox,1,0
372.9641589,Transpose,0,0
374.7144901,Fire 3,1,0
377.1648212,Paradox,1,0
379.6151523,Fire 4,1,1.966
382.0654834,Fire 4,1,1.966
384.5158146,Fire 4,1,1.966
386.9661457,Fire 4,1,1.966
389.4164768,Fire 4,1,1.966
391.8668079,High Thunder,1,0
392.5668079,Ley Lines,0,0
394.3171391,Flare,1,1.671
396.4032318,Flare Star,1,1.671
398.4893245,Foul,1,0
399.1893245,Transpose,0,0
400.5754172,High Thunder,1,0
402.6615099,Blizzard 4,1,1.671
404.7476026,Foul,1,0
405.4476026,Transpose,0,0
406.8336954,Flare,1,1.671
408.9197881,Flare,1,1.671
411.0058808,Flare Star,1,1.671
413.0919735,Foul,1,0
413.7919735,Transpose,0,0
414.4919735,Swiftcast,0,0
415.5423046,Blizzard 3,1,0
417.9926358,Foul,1,0
420.4429669,High Thunder,1,0
422.893298,Blizzard 4,1,1.966
425.3436291,Paradox,1,0
426.0436291,Transpose,0,0
427.7939603,Fire 3,1,0
430.2442914,Fire 4,1,1.966
432.6946225,Paradox,1,0
433.3946225,Triplecast,0,0
435.1449536,Fire 4,1,0
437.5952848,Fire 4,1,0
440.0456159,Fire 4,1,0
440.7456159,Surecast,0,0
442.495947,Fire 4,1,1.966
444.9462781,Fire 4,1,1.966
447.3966093,Despair,1,0
448.0966093,Manafont,0,0
449.8469404,Flare Star,1,1.966
452.2972715,Foul,1,0
454.7476026,Flare,1,1.966
457.1979338,Flare,1,1.966
459.6482649,Flare Star,1,1.966
462.098596,High Thunder,1,0
462.798596,Transpose,0,0
464.5489272,High Thunder,1,0
465.2489272,Swiftcast,0,0
466.9992583,Blizzard 3,1,0
469.4495894,Blizzard 4,1,1.966
471.8999205,Paradox,1,0
472.5999205,Transpose,0,0
474.3502517,Fire 3,1,0
476.8005828,Fire 4,1,1.966
479.2509139,Fire 4,1,1.966
481.701245,Fire 4,1,1.966
484.1515762,Fire 4,1,1.966
486.6019073,Paradox,1,0
487.3019073,Amplifier,0,0
489.0522384,Fire 4,1,1.966
491.5025695,High Thunder,1,0
493.9529007,Fire 4,1,1.966
496.4032318,Flare Star,1,1.966
498.8535629,Despair,1,0
499.5535629,Transpose,0,0
500.2535629,Lucid Dreaming,0,0
501.303894,High Thunder,1,0
503.7542252,Paradox,1,0
504.4542252,Triplecast,0,0
506.2045563,Blizzard 3,1,0
508.6548874,Blizzard 4,1,0
509.3548874,Transpose,0,0
511.1052185,Fire 3,1,0
511.8052185,Tincture,0,0
513.5555497,Fire 4,1,0
515.0555497,Ley Lines,0,0
516.0058808,Fire 4,1,1.671
518.0919735,Fire 4,1,1.671
520.1780662,Fire 4,1,1.671
522.2641589,Flare,1,1.671
524.3502517,Flare Star,1,1.671
526.4363444,Foul,1,0
527.1363444,Transpose,0,0
528.5224371,Blizzard 4,1,1.671
530.6085298,Foul,1,0
532.6946225,Foul,1,0
533.3946225,Transpose,0,0
534.0946225,Triplecast,0,0
534.7946225,Flare,1,0
536.8807152,Flare,1,0
539.3310464,Flare Star,1,0
541.7813775,Foul,1,0
542.4813775,Transpose,0,0
544.2317086,High Thunder 2,1,0
546.6820397,Blizzard 4,1,1.966
548.7548874,Transpose,0,0
549.4548874,Flare,1,1.966
551.9052185,Flare,1,1.966
554.3555497,Flare Star,1,1.966
556.4283974,Manafont,0,0
557.1283974,Flare,1,1.966
559.5787285,Flare,1,1.966
562.0290596,Flare Star,1,1.966
