time,action,isGCD,castTime
-15,Meikyo Shisui,0,0
-1.450000000000001,Gekko,1,0
1.0249999999999986,Kasha,1,0
1.5749999999999993,Ikishoten,0,0
3.5,Yukikaze,1,0
4.050000000000001,Tincture,0,0
5.643750000000001,Gyofu,1,0
6.193750000000001,Hissatsu: Senei,0,0
7.787500000000005,Tendo Setsugekka,1,1.3
9.200000000000006,Zanshin,0,0
9.931250000000006,Tendo Kaeshi Setsugekka,1,0
10.481250000000006,Hissatsu: Yaten,0,0
12.075000000000006,Yukikaze,1,0
12.625000000000007,Tengentsu,0,0
13.175000000000008,Pop Tengentsu,0,0
14.21875000000001,Higanbana,1,1.3
15.631250000000012,Hissatsu: Gyoten,0,0
16.431250000000013,Ogi Namikiri,1,1.3
17.843750000000014,Shoha,0,0
18.57500000000001,Kaeshi: Namikiri,1,0
20.71875000000002,Gyofu,1,0
21.26875000000002,Hissatsu: Gyoten,0,0
22.86250000000002,Yukikaze,1,0
23.412500000000016,Meikyo Shisui,0,0
25.006250000000016,Gekko,1,0
25.556250000000013,Hissatsu: Shinten,0,0
27.15000000000002,Kasha,1,0
27.700000000000017,Hissatsu: Shinten,0,0
29.293750000000024,Tendo Setsugekka,1,1.3
31.437500000000014,Gekko,1,0
31.98750000000002,Hissatsu: Gyoten,0,0
33.58125000000002,Tendo Kaeshi Setsugekka,1,0
35.725000000000016,Gyofu,1,0
37.86875000000001,Yukikaze,1,0
38.41875000000001,Tengentsu,0,0
38.96875000000001,Pop Tengentsu,0,0
40.01250000000001,Gyofu,1,0
40.562500000000014,Hissatsu: Shinten,0,0
42.156250000000014,Shifu,1,0
44.30000000000002,Kasha,1,0
46.44375000000002,Midare Setsugekka,1,1.3
48.58750000000001,Gyofu,1,0
49.13750000000002,Hissatsu: Shinten,0,0
50.73125,Yukikaze,1,0
52.875,Gyofu,1,0
53.425,Hissatsu: Shinten,0,0
55.01874999999998,Jinpu,1,0
57.16249999999998,Gekko,1,0
59.30624999999996,Gyofu,1,0
61.449999999999974,Kaeshi: Setsugekka,1,0
63.59374999999996,Shifu,1,0
65.73749999999995,Kasha,1,0
66.28749999999995,Hissatsu: Senei,0,0
67.88124999999994,Midare Setsugekka,1,1.3
69.29374999999993,Shoha,0,0
70.02499999999992,Gyofu,1,0
72.16874999999993,Yukikaze,1,0
74.31249999999991,Higanbana,1,1.3
76.45624999999991,Gyofu,1,0
77.00624999999991,Hissatsu: Shinten,0,0
78.5999999999999,Kaeshi: Setsugekka,1,0
80.74374999999989,Yukikaze,1,0
82.88749999999989,Gyofu,1,0
85.03124999999987,Jinpu,1,0
85.58124999999988,Tengentsu,0,0
86.13124999999988,Pop Tengentsu,0,0
87.17499999999988,Gekko,1,0
87.72499999999988,Meikyo Shisui,0,0
89.31874999999987,Kasha,1,0
89.86874999999988,Hissatsu: Shinten,0,0
91.46249999999986,Tendo Setsugekka,1,1.3
93.60624999999986,Gekko,1,0
95.74999999999986,Kasha,1,0
96.29999999999986,Hissatsu: Shinten,0,0
97.89374999999986,Gyofu,1,0
100.03749999999984,Yukikaze,1,0
102.18124999999984,Tendo Kaeshi Setsugekka,1,0
104.32499999999983,Gyofu,1,0
104.87499999999984,Tengentsu,0,0
105.42499999999984,Pop Tengentsu,0,0
106.46874999999986,Midare Setsugekka,1,1.3
107.88124999999985,Shoha,0,0
108.61249999999984,Yukikaze,1,0
109.16249999999984,Meikyo Shisui,0,0
110.75624999999982,Gekko,1,0
111.30624999999982,Hissatsu: Shinten,0,0
112.8999999999998,Kasha,1,0
113.44999999999982,Hissatsu: Shinten,0,0
115.04374999999979,Kaeshi: Setsugekka,1,0
115.59374999999977,Hissatsu: Shinten,0,0
117.18749999999974,Tendo Setsugekka,1,1.3
119.33124999999973,Gekko,1,0
121.47499999999974,Gyofu,1,0
122.02499999999975,Ikishoten,0,0
123.61874999999975,Tendo Kaeshi Setsugekka,1,0
124.16874999999976,Zanshin,0,0
125.76249999999973,Yukikaze,1,0
126.31249999999974,Hissatsu: Senei,0,0
127.90624999999974,Gyofu,1,0
130.04999999999978,Shifu,1,0
132.19374999999977,Kasha,1,0
132.74374999999978,Hissatsu: Shinten,0,0
134.33749999999978,Midare Setsugekka,1,1.3
136.4812499999998,Gyofu,1,0
138.62499999999977,Yukikaze,1,0
140.76874999999978,Higanbana,1,1.3
142.18124999999978,Shoha,0,0
142.9124999999998,Ogi Namikiri,1,1.3
145.05624999999984,Kaeshi: Namikiri,1,0
145.60624999999985,Hissatsu: Shinten,0,0
147.19999999999985,Gyofu,1,0
149.3437499999998,Kaeshi: Setsugekka,1,0
149.89374999999978,Tengentsu,0,0
150.44374999999977,Pop Tengentsu,0,0
151.48749999999976,Yukikaze,1,0
152.03749999999977,Meikyo Shisui,0,0
153.63124999999977,Gekko,1,0
154.18124999999975,Hissatsu: Shinten,0,0
155.77499999999975,Kasha,1,0
156.32499999999976,Hissatsu: Shinten,0,0
157.91874999999976,Tendo Setsugekka,1,1.3
160.0624999999998,Gekko,1,0
162.20624999999978,Gyofu,1,0
164.3499999999998,Yukikaze,1,0
164.8999999999998,Tengentsu,0,0
165.4499999999998,Pop Tengentsu,0,0
166.49374999999978,Gyofu,1,0
167.0437499999998,Hissatsu: Shinten,0,0
168.6374999999998,Shifu,1,0
169.18749999999977,Hissatsu: Shinten,0,0
170.78124999999977,Kasha,1,0
172.92499999999978,Tendo Kaeshi Setsugekka,1,0
175.06874999999982,Midare Setsugekka,1,1.3
176.48124999999985,Shoha,0,0
177.21249999999984,Gyofu,1,0
177.76249999999982,Hissatsu: Shinten,0,0
179.35624999999982,Yukikaze,1,0
181.49999999999983,Gyofu,1,0
183.6437499999998,Jinpu,1,0
184.1937499999998,Tengentsu,0,0
184.74374999999978,Pop Tengentsu,0,0
185.78749999999977,Gekko,1,0
186.33749999999978,Hissatsu: Senei,0,0
187.9312499999998,Kaeshi: Setsugekka,1,0
190.07499999999976,Gyofu,1,0
192.2187499999998,Shifu,1,0
194.3624999999998,Kasha,1,0
194.91249999999982,Hissatsu: Shinten,0,0
196.50624999999982,Midare Setsugekka,1,1.3
198.64999999999984,Gyofu,1,0
200.79374999999982,Yukikaze,1,0
201.34374999999983,Hissatsu: Shinten,0,0
202.9374999999999,Higanbana,1,1.3
205.0812499999999,Gyofu,1,0
205.6312499999999,Hissatsu: Shinten,0,0
207.2249999999999,Jinpu,1,0
209.7749999999999,Meditate,1,0
221.34299999999996,Gekko,1,0
223.48675,Kaeshi: Setsugekka,1,0
224.03675,Shoha,0,0
225.63049999999998,Gyofu,1,0
226.18049999999997,Hissatsu: Shinten,0,0
227.77425,Yukikaze,1,0
228.32424999999998,Meikyo Shisui,0,0
228.87425,Tengentsu,0,0
229.42424999999997,Pop Tengentsu,0,0
229.91799999999995,Kasha,1,0
230.46799999999996,Hissatsu: Shinten,0,0
232.06174999999996,Tendo Setsugekka,1,1.3
234.20549999999994,Gekko,1,0
236.34924999999993,Kasha,1,0
236.89924999999994,Hissatsu: Shinten,0,0
238.49299999999994,Gyofu,1,0
240.63674999999992,Yukikaze,1,0
241.1867499999999,Hissatsu: Shinten,0,0
242.78049999999985,Tendo Kaeshi Setsugekka,1,0
243.33049999999986,Ikishoten,0,0
244.92424999999986,Midare Setsugekka,1,1.3
246.33674999999988,Zanshin,0,0
247.06799999999987,Gyofu,1,0
247.61799999999988,Hissatsu: Senei,0,0
249.21174999999988,Yukikaze,1,0
251.3554999999999,Ogi Namikiri,1,1.3
252.76799999999992,Shoha,0,0
253.4992499999999,Kaeshi: Namikiri,1,0
255.64299999999986,Gyofu,1,0
257.78674999999987,Jinpu,1,0
258.3367499999999,Hissatsu: Shinten,0,0
259.93049999999994,Kaeshi: Setsugekka,1,0
262.0742499999999,Higanbana,1,1.3
264.21799999999985,Gekko,1,0
264.76799999999986,Tengentsu,0,0
265.3179999999998,Pop Tengentsu,0,0
266.3617499999998,Gyofu,1,0
266.9117499999998,Hissatsu: Shinten,0,0
268.5054999999998,Yukikaze,1,0
269.0554999999998,Meikyo Shisui,0,0
270.6492499999998,Kasha,1,0
272.7929999999998,Tendo Setsugekka,1,1.3
274.93674999999985,Gekko,1,0
277.0804999999998,Kasha,1,0
277.6304999999998,Hissatsu: Shinten,0,0
279.22424999999976,Gyofu,1,0
281.36799999999965,Yukikaze,1,0
283.51174999999967,Tendo Kaeshi Setsugekka,1,0
285.6554999999997,Gyofu,1,0
286.20549999999963,Tengentsu,0,0
286.75549999999964,Pop Tengentsu,0,0
287.79924999999963,Midare Setsugekka,1,1.3
289.21174999999965,Shoha,0,0
289.94299999999964,Yukikaze,1,0
290.49299999999965,Hissatsu: Shinten,0,0
292.08674999999965,Gyofu,1,0
294.23049999999967,Jinpu,1,0
294.7804999999997,Hissatsu: Shinten,0,0
296.3742499999996,Gekko,1,0
298.5179999999996,Gyofu,1,0
300.66174999999964,Kaeshi: Setsugekka,1,0
301.2117499999997,Hissatsu: Shinten,0,0
302.8054999999997,Shifu,1,0
304.9492499999997,Kasha,1,0
307.0929999999997,Midare Setsugekka,1,1.3
308.5054999999997,Hissatsu: Senei,0,0
309.23674999999974,Gyofu,1,0
311.38049999999976,Yukikaze,1,0
313.5242499999998,Gyofu,1,0
314.07424999999984,Tengentsu,0,0
314.62424999999985,Pop Tengentsu,0,0
315.6679999999998,Jinpu,1,0
316.2179999999998,Hissatsu: Shinten,0,0
317.8117499999998,Kaeshi: Setsugekka,1,0
319.95549999999974,Higanbana,1,1.3
322.0992499999998,Gekko,1,0
324.2429999999999,Gyofu,1,0
324.7929999999999,Hissatsu: Shinten,0,0
326.3867499999999,Yukikaze,1,0
328.53049999999985,Gyofu,1,0
329.08049999999986,Hissatsu: Gyoten,0,0
330.67424999999986,Shifu,1,0
332.8179999999998,Kasha,1,0
334.9617499999998,Midare Setsugekka,1,1.3
337.1054999999998,Gyofu,1,0
337.65549999999973,Tengentsu,0,0
338.2054999999997,Pop Tengentsu,0,0
339.2492499999997,Yukikaze,1,0
341.3929999999997,Gyofu,1,0
341.94299999999976,Hissatsu: Gyoten,0,0
343.53674999999976,Jinpu,1,0
345.68049999999977,Gekko,1,0
346.2304999999998,Meikyo Shisui,0,0
347.8242499999997,Kaeshi: Setsugekka,1,0
349.96799999999973,Kasha,1,0
352.11174999999974,Tendo Setsugekka,1,1.3
353.52424999999977,Tincture,0,0
354.2554999999997,Tendo Kaeshi Setsugekka,1,0
