time,action,isGCD,castTime
-11,Meikyo Shisui,0,0
0.8470000000000013,Gekko,1,0
3.298000000000002,Higanbana,1,1.3
5.773,Kasha,1,0
6.4190000000000005,Feint,0,0
7.224000000000004,Tengentsu,0,0
8.248000000000005,Gekko,1,0
8.798000000000005,Pop Tengentsu,0,0
10.391750000000005,Gyofu,1,0
12.535500000000006,Yukikaze,1,0
14.67925000000001,Tendo Setsugekka,1,1.3
16.823000000000008,Gyofu,1,0
18.96675000000001,Yukikaze,1,0
21.110500000000016,Gyofu,1,0
23.25425000000002,Jinpu,1,0
23.804250000000017,Tincture,0,0
24.35425000000002,Hissatsu: Senei,0,0
25.398000000000017,Gekko,1,0
25.948000000000015,Meikyo Shisui,0,0
26.49800000000002,Hissatsu: Shinten,0,0
27.541750000000015,Kasha,1,0
28.09175000000001,Hissatsu: Shinten,0,0
28.64175000000001,Ikishoten,0,0
29.685500000000005,Tendo Kaeshi Setsugekka,1,0
30.235500000000002,Tengentsu,0,0
30.7855,Pop Tengentsu,0,0
31.829250000000002,Tendo Setsugekka,1,1.3
33.241749999999996,Shoha,0,0
33.97299999999999,Ogi Namikiri,1,1.3
35.38549999999999,Zanshin,0,0
36.116749999999996,Kaeshi: Namikiri,1,0
36.66674999999999,Hissatsu: Shinten,0,0
38.2605,Kasha,1,0
38.810500000000005,Hissatsu: Shinten,0,0
40.404250000000005,Gekko,1,0
40.95425000000001,Hissatsu: Gyoten,0,0
42.548000000000016,Tendo Kaeshi Setsugekka,1,0
43.153001,Meikyo Shisui,0,0
44.69175000000001,Yukikaze,1,0
45.241750000000025,Tengentsu,0,0
46.83550000000004,Tendo Setsugekka,1,1.3
48.24800000000003,Pop Tengentsu,0,0
48.25800000000004,Hissatsu: Shinten,0,0
48.97925000000002,Gekko,1,0
51.123000000000005,Kasha,1,0
51.673,Hissatsu: Shinten,0,0
53.26674999999999,Tendo Kaeshi Setsugekka,1,0
55.410499999999985,Gyofu,1,0
57.554249999999996,Yukikaze,1,0
58.10424999999999,Hissatsu: Gyoten,0,0
59.69799999999999,Gyofu,1,0
60.248000000000005,Tengentsu,0,0
60.798,Pop Tengentsu,0,0
61.84175000000002,Midare Setsugekka,1,1.3
63.25425000000001,Shoha,0,0
63.9855,Yukikaze,1,0
64.5355,Hissatsu: Shinten,0,0
66.12924999999998,Gyofu,1,0
68.273,Higanbana,1,1.3
70.41674999999998,Yukikaze,1,0
72.56049999999996,Gyofu,1,0
74.70424999999997,Jinpu,1,0
76.84799999999997,Gekko,1,0
78.99174999999998,Gyofu,1,0
79.54174999999998,Hissatsu: Shinten,0,0
81.13549999999996,Shifu,1,0
83.27924999999996,Kasha,1,0
84.35424999999995,Hissatsu: Senei,0,0
85.42299999999996,Kaeshi: Setsugekka,1,0
85.97299999999997,Hissatsu: Shinten,0,0
87.56674999999996,Midare Setsugekka,1,1.3
89.71049999999994,Gyofu,1,0
90.26049999999994,Sprint,0,0
91.85424999999994,Yukikaze,1,0
93.99799999999993,Gyofu,1,0
94.54799999999993,Hissatsu: Gyoten,0,0
96.14174999999992,Jinpu,1,0
98.28549999999991,Gekko,1,0
98.83549999999991,Hissatsu: Shinten,0,0
100.42924999999991,Gyofu,1,0
102.57299999999992,Kaeshi: Setsugekka,1,0
104.7167499999999,Shifu,1,0
106.86049999999992,Kasha,1,0
109.00424999999993,Midare Setsugekka,1,1.3
110.41674999999992,Shoha,0,0
111.14799999999991,Kaeshi: Setsugekka,1,0
113.29174999999992,Gyofu,1,0
115.43549999999996,Yukikaze,1,0
115.98549999999994,Hissatsu: Shinten,0,0
117.57924999999994,Gyofu,1,0
