time,action,isGCD,castTime
-3,Searing Light,0,0
-2.3,Summon Solar Bahamut,1,0
0.16666666666666696,Umbral Impulse,1,0
0.8666666666666671,Lux Solaris,0,0
56.91999999999999,Summon Bahamut,1,0
59.386666666666656,Astral Impulse,1,0
60.086666666666645,Deathflare,0,0
60.78666666666665,Akh Morn,0,0
61.486666666666636,Energy Drain,0,0
62.18666666666664,Necrotize,0,0
63.18666666666665,Necrotize,0,0
63.88666666666664,Summon Titan II,1,0
66.35333333333332,Topaz Rite,1,0
80.08666666666666,Deathflare,0,0
80.78666666666666,Summon Garuda II,1,0
83.25333333333334,Slipstream,1,2.961
86.71166666666669,Emerald Rite,1,0
88.22000000000003,Summon Ifrit II,1,0
90.6866666666667,Ruby Rite,1,2.763
93.65333333333336,Crimson Cyclone,1,0
96.12000000000003,Crimson Strike,1,0
98.5866666666667,Ruin III,1,1.48
101.05333333333336,Summon Titan II,1,0
103.52000000000001,Topaz Rite,1,0
104.22,Mountain Buster,0,0
105.98666666666668,Topaz Rite,1,0
106.68666666666668,Mountain Buster,0,0
108.45333333333335,Summon Garuda II,1,0
110.92000000000002,Slipstream,1,2.961
114.37833333333336,Emerald Rite,1,0
115.8866666666667,Emerald Rite,1,0
117.39500000000004,Summon Ifrit II,1,0
119.86166666666672,Ruby Rite,1,2.763
122.82833333333339,Crimson Cyclone,1,0
125.29500000000004,Crimson Strike,1,0
127.76166666666671,Ruby Rite,1,2.763
130.72833333333338,Ruin III,1,1.48
132.32000000000005,Searing Light,0,0
133.19500000000005,Summon Solar Bahamut,1,0
135.66166666666672,Umbral Impulse,1,0
136.36166666666674,Sunflare,0,0
137.06166666666672,Akh Morn,0,0
138.1283333333334,Umbral Impulse,1,0
138.82833333333338,Energy Drain,0,0
139.52833333333336,Necrotize,0,0
140.52833333333336,Necrotize,0,0
141.22833333333335,Summon Titan II,1,0
143.695,Topaz Rite,1,0
156.36166666666665,Sunflare,0,0
192.4149999999999,Summon Phoenix,1,0
194.88166666666655,Fountain of Fire,1,0
197.34833333333324,Brand of Purgatory,1,0
198.04833333333323,Enkindle Phoenix,0,0
199.81499999999988,Fountain of Fire,1,0
202.28166666666658,Brand of Purgatory,1,0
204.74833333333322,Summon Garuda II,1,0
205.44833333333324,Rekindle,0,0
207.21499999999992,Emerald Rite,1,0
208.72333333333324,Summon Ifrit II,1,0
211.1899999999999,Ruby Rite,1,2.763
214.15666666666658,Crimson Cyclone,1,0
216.62333333333325,Crimson Strike,1,0
