job,skill_key,display_name,axis_action_count,sim_count,sim_target_sum,sim_damage_one_run,xiv_damage_events,xiv_total_potency,first_axis_time,last_axis_time,first_xiv_damage_time,last_xiv_damage_time,note
RDM,acceleration,Acceleration,3,3,3,0.0,0,0.0,-3.0,147.91999999999996,,,"axis/simulator zero-damage action; likely buff, step, stance, or utility"
RDM,autoattack,Auto Attack,0,36,36,432460.821,35,3150.0,,,7.00333333333333,175.70333333333323,generated damage in simulator and external reference without an axis press; sim count differs from external damage event count
RDM,contresixte,Contre Sixte,4,4,4,193120.546,4,1680.0,17.949999999999985,174.20999999999995,19.109999999999985,175.36999999999998,matched
RDM,embolden,Embolden,2,2,2,0.0,0,0.0,5.84333333333333,125.84333333333333,,,"axis/simulator zero-damage action; likely buff, step, stance, or utility"
RDM,enchantedredoublement,Enchanted Redoublement,2,2,2,161967.483,2,1232.0,9.50666666666666,129.50666666666663,10.12666666666666,130.12666666666664,matched
RDM,enchantedriposte,Enchanted Riposte,2,2,2,67646.811,2,748.0,6.473333333333331,126.47333333333333,7.09333333333333,127.09333333333333,matched
RDM,enchantedzwerchhau,Enchanted Zwerchhau,2,2,2,75319.026,2,836.0,7.989999999999997,127.98999999999998,8.609999999999996,128.60999999999999,matched
RDM,fleche,Fleche,4,4,4,220644.539,4,1920.0,17.319999999999986,163.57999999999993,18.479999999999983,164.73999999999992,matched
RDM,grandimpact,Grand Impact,2,2,2,148632.649,2,1200.0,54.93333333333336,149.77333333333328,56.483333333333356,151.32333333333327,matched
RDM,joltiii,Jolt III,6,6,6,207807.834,6,2232.0,45.000000000000014,154.73999999999992,47.29000000000001,157.02999999999994,matched
RDM,manafication,Manafication,2,2,2,0.0,0,0.0,5.213333333333331,115.21333333333325,,,"axis/simulator zero-damage action; likely buff, step, stance, or utility"
RDM,prefulgence,Prefulgence,1,1,1,189019.458,1,1320.0,137.95,137.95,139.36999999999998,139.36999999999998,matched
RDM,resolution,Resolution,2,2,2,223252.877,2,1870.0,16.689999999999987,136.69,18.249999999999986,138.24999999999997,matched
RDM,scorch,Scorch,2,2,2,149606.09,2,1650.0,14.206666666666656,134.20666666666665,16.036666666666655,136.03666666666666,matched
RDM,veraeroiii,Veraero III,5,5,5,233412.744,5,2200.0,0.11333333333333329,157.22333333333327,5.348333333333331,157.98333333333326,matched
RDM,verholy,Verholy,2,2,2,211683.781,2,1430.0,11.723333333333326,131.7233333333333,13.153333333333325,133.1533333333333,matched
RDM,verthunderiii,Verthunder III,5,5,5,305209.848,5,2244.0,-2.37,152.2566666666666,-1.6100000000000003,153.0166666666666,matched
RDM,viceofthorns,Vice of Thorns,1,1,1,93895.906,1,1045.0,137.32,137.32,138.11999999999998,138.11999999999998,matched
