job,row_no,time,skill,code,severity,message
SMN,13,63.887,Summon Titan II,smn_gem_during_demi,warning,Summon Titan II used while bahamut is still active.
SMN,15,80.087,Deathflare,smn_demi_action_mismatch,warning,Deathflare requires bahamut; tracked demi is none.
SMN,16,80.787,Summon Garuda II,smn_gem_overwrite,warning,Summon Garuda II used before spending current titan attunement.
SMN,19,88.22,Summon Ifrit II,smn_gem_overwrite,warning,Summon Ifrit II used before spending current garuda attunement.
SMN,24,101.053,Summon Titan II,smn_arcanum_missing,warning,Summon Titan II used without tracked titan arcanum.
SMN,24,101.053,Summon Titan II,smn_gem_overwrite,warning,Summon Titan II used before spending current ifrit attunement.
SMN,29,108.453,Summon Garuda II,smn_arcanum_missing,warning,Summon Garuda II used without tracked garuda arcanum.
SMN,29,108.453,Summon Garuda II,smn_gem_overwrite,warning,Summon Garuda II used before spending current titan attunement.
SMN,33,117.395,Summon Ifrit II,smn_arcanum_missing,warning,Summon Ifrit II used without tracked ifrit arcanum.
SMN,33,117.395,Summon Ifrit II,smn_gem_overwrite,warning,Summon Ifrit II used before spending current garuda attunement.
SMN,43,137.062,Akh Morn,smn_demi_action_mismatch,warning,Akh Morn requires bahamut; tracked demi is solar.
SMN,48,141.228,Summon Titan II,smn_gem_during_demi,warning,Summon Titan II used while solar is still active.
SMN,50,156.362,Sunflare,smn_demi_action_mismatch,warning,Sunflare requires solar; tracked demi is none.
SMN,57,204.748,Summon Garuda II,smn_gem_during_demi,warning,Summon Garuda II used while phoenix is still active.
SMN,60,208.723,Summon Ifrit II,smn_gem_overwrite,warning,Summon Ifrit II used before spending current garuda attunement.
